Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz,C,22,TOT,49,945,12.3,.407,,.290,,,,5.2,,,,,,-1.1,0.8,-0.3,-0.016,,,,,
1,Zaid Abdul-Aziz,C-F,22,CIN,20,108,8.5,.412,,.163,,,,5.1,,,,,,-0.1,0.0,-0.1,-0.038,,,,,
1,Zaid Abdul-Aziz,C,22,MIL,29,837,12.8,.406,,.305,,,,5.3,,,,,,-1.0,0.8,-0.2,-0.013,,,,,
2,Mahdi Abdul-Rahman,PG,26,ATL,80,2420,12.6,.450,,.338,,,,25.4,,,,,,0.3,2.2,2.5,.050,,,,,
3,Rick Adelman,PG,22,SDR,77,1448,11.4,.450,,.454,,,,20.3,,,,,,0.2,2.1,2.2,.074,,,,,
4,Bob Allen,PF,22,SFW,27,232,6.8,.408,,.837,,,,5.4,,,,,,-0.1,0.3,0.1,.028,,,,,
5,Cliff Anderson,SG,24,LAL,35,289,11.5,.468,,.759,,,,14.4,,,,,,0.1,0.2,0.4,.063,,,,,
6,Al Attles,PG,32,SFW,51,1516,12.0,.493,,.415,,,,26.9,,,,,,1.3,2.2,3.6,.113,,,,,
7,Harry Barnes,SF,23,SDR,22,126,2.4,.308,,.203,,,,5.0,,,,,,-0.5,0.1,-0.4,-0.154,,,,,
8,Jim Barnes,C-PF,27,TOT,59,706,13.6,.492,,.425,,,,5.3,,,,,,0.7,1.4,2.1,.141,,,,,
8,Jim Barnes,PF,27,CHI,10,111,11.5,.416,,.322,,,,1.4,,,,,,-0.2,0.1,0.0,-0.010,,,,,
8,Jim Barnes,C,27,BOS,49,595,14.0,.513,,.455,,,,6.1,,,,,,0.8,1.3,2.1,.169,,,,,
9,Dick Barnett,SG,32,NYK,82,2953,14.3,.516,,.330,,,,13.7,,,,,,5.2,2.6,7.8,.126,,,,,
10,Jim Barnett,SG,24,SDR,80,2346,14.7,.473,,.284,,,,19.7,,,,,,1.6,3.2,4.8,.098,,,,,
11,John Barnhill,PG,30,BAL,30,504,11.4,.469,,.371,,,,17.5,,,,,,0.2,0.7,1.0,.091,,,,,
12,Elgin Baylor*,SF,34,LAL,76,3064,20.7,.500,,.347,,,,20.2,,,,,,5.1,3.4,8.5,.133,,,,,
