Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jay Arnette,PG,25,CIN,48,501,8.4,.419,,.276,,,,,,,,,,-0.3,0.4,0.1,.010,,,,,
2,Al Attles,PG,27,SFW,70,1883,12.6,.501,,.430,,,,,,,,,,2.6,2.8,5.3,.136,,,,,
3,Dick Barnett,SG,27,LAL,78,2620,15.7,.513,,.379,,,,,,,,,,5.3,1.2,6.5,.119,,,,,
4,John Barnhill,SG,25,STL,74,1367,10.1,.437,,.228,,,,,,,,,,-0.2,1.2,1.0,.034,,,,,
5,Elgin Baylor*,SF,29,LAL,78,3164,21.1,.487,,.330,,,,,,,,,,4.7,2.5,7.2,.109,,,,,
6,Zelmo Beaty,C,24,STL,59,1922,14.0,.505,,.417,,,,,,,,,,2.5,2.4,4.8,.121,,,,,
7,Walt Bellamy*,C,24,BAL,80,3394,23.3,.555,,.521,,,,,,,,,,11.4,2.9,14.4,.203,,,,,
8,Al Bianchi,PG,31,PHI,78,1437,8.9,.418,,.206,,,,,,,,,,-1.1,0.8,-0.4,-0.012,,,,,
9,Bucky Bockhorn,SG,30,CIN,70,1670,9.3,.451,,.215,,,,,,,,,,0.3,1.2,1.5,.042,,,,,
10,Bob Boozer,SF,26,TOT,81,2379,14.4,.479,,.343,,,,,,,,,,2.1,0.7,2.8,.056,,,,,
10,Bob Boozer,SF,26,CIN,32,727,12.8,.456,,.356,,,,,,,,,,0.1,0.6,0.7,.049,,,,,
10,Bob Boozer,SF,26,NYK,49,1652,15.2,.489,,.337,,,,,,,,,,1.9,0.1,2.0,.059,,,,,
11,Bill Bridges,PF,24,STL,80,1949,13.1,.441,,.332,,,,,,,,,,-0.2,2.8,2.6,.064,,,,,
12,Dave Budd,SF,25,NYK,73,1031,11.3,.489,,.387,,,,,,,,,,0.8,0.1,0.9,.041,,,,,
13,Donnie Butcher,PG,27,TOT,78,1971,10.0,.454,,.505,,,,,,,,,,0.5,0.7,1.2,.030,,,,,
13,Donnie Butcher,G,27,NYK,26,418,9.3,.403,,.574,,,,,,,,,,-0.3,0.0,-0.2,-0.027,,,,,
13,Donnie Butcher,PG,27,DET,52,1553,10.2,.470,,.485,,,,,,,,,,0.8,0.7,1.5,.045,,,,,
14,Al Butler,PG,25,NYK,76,1379,13.0,.471,,.304,,,,,,,,,,1.0,0.1,1.1,.038,,,,,
15,Barney Cable,SF,28,BAL,71,1125,7.7,.421,,.145,,,,,,,,,,-0.4,0.8,0.3,.014,,,,,
16,Wilt Chamberlain*,C,27,SFW,80,3689,31.6,.537,,.442,,,,,,,,,,14.4,10.6,25.0,.325,,,,,
17,Len Chappell,PF,23,TOT,79,2505,16.7,.495,,.340,,,,,,,,,,3.4,0.2,3.6,.069,,,,,
17,Len Chappell,F-C,23,PHI,1,16,0.3,.174,,1.000,,,,,,,,,,0.0,0.0,0.0,-0.102,,,,,
17,Len Chappell,PF,23,NYK,78,2489,16.8,.496,,.339,,,,,,,,,,3.5,0.2,3.7,.070,,,,,
18,Larry Comley,G,24,BAL,12,89,5.6,.284,,.432,,,,,,,,,,-0.4,0.1,-0.3,-0.167,,,,,
19,Gene Conley,PF,33,NYK,46,551,8.8,.441,,.344,,,,,,,,,,-0.1,0.0,0.0,-0.003,,,,,
20,Larry Costello,PG,32,PHI,45,1137,15.1,.548,,.417,,,,,,,,,,2.8,0.7,3.5,.147,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Dave DeBusschere*,SF,23,DET,15,304,13.9,.425,,.323,,,,,,,,,,-0.2,0.2,0.0,-0.003,,,,,
22,Connie Dierking,C,27,PHI,76,1286,10.5,.422,,.329,,,,,,,,,,-0.9,1.0,0.1,.004,,,,,
23,Terry Dischinger,SF,23,BAL,80,2816,19.6,.564,,.481,,,,,,,,,,9.5,1.9,11.3,.193,,,,,
24,Bob Duffy,PG,23,TOT,48,662,10.5,.450,,.284,,,,,,,,,,0.1,0.2,0.3,.025,,,,,
24,Bob Duffy,PG,23,STL,2,6,2.4,.291,,.333,,,,,,,,,,0.0,0.0,0.0,-0.218,,,,,
24,Bob Duffy,PG,23,NYK,4,50,8.1,.355,,.421,,,,,,,,,,-0.1,0.0,-0.1,-0.099,,,,,
24,Bob Duffy,PG,23,DET,42,606,10.8,.462,,.271,,,,,,,,,,0.3,0.2,0.5,.038,,,,,
25,Johnny Egan,PG,25,TOT,66,2326,12.7,.498,,.321,,,,,,,,,,2.7,0.4,3.2,.065,,,,,
25,Johnny Egan,PG,25,DET,24,838,10.3,.467,,.266,,,,,,,,,,0.4,0.3,0.7,.043,,,,,
25,Johnny Egan,PG,25,NYK,42,1488,14.1,.513,,.349,,,,,,,,,,2.3,0.1,2.4,.078,,,,,
26,Leroy Ellis,C,23,LAL,78,1459,12.1,.467,,.359,,,,,,,,,,0.6,1.0,1.6,.053,,,,,
27,Wayne Embry*,C,26,CIN,80,2915,15.1,.495,,.344,,,,,,,,,,3.5,2.8,6.3,.104,,,,,
28,Mike Farmer,SF,27,STL,76,1361,9.4,.447,,.189,,,,,,,,,,0.0,1.3,1.3,.046,,,,,
29,Bob Ferry,C,26,DET,74,1522,16.2,.493,,.416,,,,,,,,,,2.0,0.7,2.7,.086,,,,,
30,Dave Gambee,SF,26,PHI,41,927,13.5,.489,,.489,,,,,,,,,,1.0,0.6,1.6,.084,,,,,
31,Mel Gibson,G,23,LAL,9,53,2.5,.311,,.100,,,,,,,,,,-0.2,0.0,-0.1,-0.119,,,,,
32,Tom Gola*,SG,31,NYK,74,2156,11.6,.482,,.352,,,,,,,,,,1.6,0.2,1.7,.039,,,,,
33,Johnny Green,PF,30,NYK,80,2134,18.1,.484,,.382,,,,,,,,,,2.3,0.2,2.6,.057,,,,,
34,Si Green,PG,30,BAL,75,2064,11.6,.472,,.420,,,,,,,,,,1.3,1.3,2.6,.061,,,,,
35,Jerry Greenspan,SG,22,PHI,20,280,8.7,.438,,.556,,,,,,,,,,-0.1,0.2,0.1,.020,,,,,
36,Hal Greer*,SG,27,PHI,80,3157,17.7,.506,,.326,,,,,,,,,,6.1,2.0,8.1,.124,,,,,
37,Richie Guerin*,SG,31,TOT,80,2366,14.7,.508,,.501,,,,,,,,,,3.9,2.4,6.3,.127,,,,,
37,Richie Guerin*,SG,31,NYK,2,26,34.1,.714,,.313,,,,,,,,,,0.3,0.0,0.3,.488,,,,,
37,Richie Guerin*,SG,31,STL,78,2340,14.5,.504,,.505,,,,,,,,,,3.7,2.4,6.0,.123,,,,,
38,Cliff Hagan*,SF,32,STL,77,2279,16.9,.496,,.259,,,,,,,,,,3.8,2.1,6.0,.126,,,,,
39,Reggie Harding,C,21,DET,39,1158,12.4,.426,,.213,,,,,,,,,,-0.6,0.6,0.0,.000,,,,,
40,Charlie Hardnett,PF,25,BAL,66,617,15.8,.473,,.481,,,,,,,,,,0.4,0.5,1.0,.077,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
41,Jerry Harkness,PG,23,NYK,5,59,11.9,.433,,.267,,,,,,,,,,0.0,0.0,0.0,-0.017,,,,,
