Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Don Ackerman,PG,23,NYK,28,220,1.0,.285,,.444,,,,,,,,,,-0.7,0.1,-0.6,-0.123,,,,,
2,Don Asmonga,G,25,BLB,7,46,-7.5,.162,,.067,,,,,,,,,,-0.3,0.0,-0.3,-0.279,,,,,
3,Jim Baechtold,SF,26,NYK,70,1627,10.5,.437,,.381,,,,,,,,,,1.2,0.9,2.1,.062,,,,,
4,Don Barksdale*,PF,30,BOS,63,1358,14.2,.448,,.542,,,,,,,,,,1.5,0.8,2.3,.082,,,,,
5,Leo Barnhorst,F-G,29,TOT,72,2064,,.368,,.150,,,,,,,,,,,,,,,,,,
6,Ernie Barrett,SG,24,BOS,59,641,4.7,.332,,.131,,,,,,,,,,-1.1,0.3,-0.8,-0.058,,,,,
7,Ernie Beck,SG,22,PHW,15,422,8.1,.348,,.303,,,,,,,,,,-0.7,0.3,-0.4,-0.051,,,,,
8,Irv Bemoras,SF,23,MLH,69,1496,12.7,.427,,.412,,,,,,,,,,0.8,1.2,2.0,.063,,,,,
9,Bill Bolger,SF,22,BLB,20,202,10.7,.433,,.220,,,,,,,,,,0.1,0.1,0.2,.039,,,,,
10,Vince Boryla,SF,26,NYK,52,1522,6.8,.375,,.154,,,,,,,,,,-1.6,0.7,-1.0,-0.031,,,,,
11,Bob Brannum,PF,28,BOS,71,1729,10.5,.376,,.455,,,,,,,,,,-1.1,1.1,0.0,.000,,,,,
12,Carl Braun,SG,26,NYK,72,2373,17.8,.495,,.485,,,,,,,,,,7.2,1.3,8.6,.173,,,,,
13,Frankie Brian,SG,30,FTW,64,973,15.6,.464,,.517,,,,,,,,,,2.0,0.8,2.7,.135,,,,,
14,Bill Calhoun,SF,26,MLH,72,2370,12.5,.441,,.536,,,,,,,,,,2.2,1.9,4.1,.082,,,,,
15,Cal Christensen,SF,26,ROC,70,1654,11.7,.404,,.661,,,,,,,,,,-0.1,3.0,2.9,.084,,,,,
16,Nathaniel Clifton*,PF,31,NYK,72,2179,14.8,.419,,.396,,,,,,,,,,0.7,1.7,2.4,.054,,,,,
17,Jack Coleman,PF,29,ROC,71,2377,14.8,.432,,.254,,,,,,,,,,1.4,4.4,5.8,.117,,,,,
18,Chuck Cooper*,SF,27,BOS,70,1101,9.6,.375,,.444,,,,,,,,,,-0.7,0.7,0.0,-0.001,,,,,
19,Bob Cousy*,PG,25,BOS,72,2857,21.0,.464,,.414,,,,,,,,,,6.5,1.6,8.1,.137,,,,,
20,Bob Davies*,PG,34,ROC,72,2137,18.0,.458,,.557,,,,,,,,,,4.4,3.3,7.7,.172,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Walt Davis,PF,23,PHW,68,1568,11.2,.399,,.222,,,,,,,,,,-0.5,1.4,0.9,.028,,,,,
22,Bob Donham,SG,27,BOS,68,1451,13.6,.489,,.676,,,,,,,,,,2.7,0.8,3.5,.115,,,,,
23,Gene Dyker,F,23,MLH,11,91,0.4,.271,,.308,,,,,,,,,,-0.3,0.1,-0.3,-0.138,,,,,
24,Ed Earle,PF,26,SYR,2,12,15.0,.532,,2.000,,,,,,,,,,0.0,0.0,0.0,.193,,,,,
25,Ray Felix,C,23,BLB,72,2672,22.9,.491,,.716,,,,,,,,,,7.6,1.0,8.6,.155,,,,,
26,Danny Finn,PG,25,PHW,68,1562,13.9,.401,,.396,,,,,,,,,,0.2,1.4,1.7,.052,,,,,
27,Larry Foust,C,25,FTW,72,2693,22.8,.483,,.517,,,,,,,,,,6.5,3.9,10.4,.186,,,,,
28,Jim Fritsche,PF,22,TOT,68,1221,7.8,.344,,.179,,,,,,,,,,-2.0,0.3,-1.7,-0.065,,,,,
28,Jim Fritsche,PF,22,MNL,2,8,-18.9,.105,,1.333,,,,,,,,,,-0.1,0.0,-0.1,-0.652,,,,,
28,Jim Fritsche,PF,22,BLB,66,1213,8.0,.346,,.170,,,,,,,,,,-1.9,0.3,-1.6,-0.062,,,,,
29,Joe Fulks*,PF,32,PHW,61,501,3.7,.299,,.214,,,,,,,,,,-2.2,0.4,-1.8,-0.171,,,,,
30,Bill Gabor,SG,31,SYR,61,1211,14.6,.430,,.352,,,,,,,,,,1.2,1.8,2.9,.116,,,,,
31,Harry Gallatin*,PF,26,NYK,72,2690,24.1,.538,,.864,,,,,,,,,,9.0,2.8,11.8,.210,,,,,
32,Jack George,PG,25,PHW,71,2648,12.1,.396,,.361,,,,,,,,,,-0.3,2.2,1.8,.034,,,,,
33,Bato Govedarica,PG,25,SYR,23,258,7.1,.394,,.468,,,,,,,,,,-0.1,0.3,0.2,.044,,,,,
34,Joe Graboski,PF,24,PHW,71,2759,14.5,.409,,.350,,,,,,,,,,-0.2,2.5,2.3,.040,,,,,
