Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mahdi Abdul-Rahman,PG,24,LAL,79,1642,13.8,.466,,.251,,,,25.1,,,,,,0.7,1.5,2.2,.064,,,,,
2,Henry Akin,PF,22,NYK,50,453,8.5,.390,,.161,,,,7.4,,,,,,-0.9,0.2,-0.7,-0.073,,,,,
3,Al Attles,PG,30,SFW,69,1764,10.2,.480,,.323,,,,17.9,,,,,,0.9,2.6,3.5,.096,,,,,
4,Johnny Austin,SG,22,BAL,4,61,5.7,.396,,.727,,,,7.7,,,,,,-0.1,0.0,-0.1,-0.043,,,,,
5,Jim Barnes,PF,25,LAL,80,1398,11.0,.485,,.376,,,,4.1,,,,,,0.9,1.2,2.1,.071,,,,,
6,Dick Barnett,SG,30,NYK,67,1969,15.6,.528,,.311,,,,11.6,,,,,,4.2,0.5,4.7,.114,,,,,
7,Jim Barnett,SG,22,BOS,48,383,10.4,.415,,.294,,,,14.4,,,,,,-0.5,0.5,0.0,.003,,,,,
8,John Barnhill,PG,28,BAL,53,1214,10.6,.447,,.230,,,,14.3,,,,,,-0.1,0.8,0.7,.026,,,,,
9,Rick Barry*,SF,22,SFW,78,3175,24.2,.531,,.380,,,,13.6,,,,,,10.1,4.3,14.4,.218,,,,,
10,Elgin Baylor*,SF,32,LAL,70,2706,20.2,.491,,.326,,,,11.3,,,,,,3.5,2.7,6.2,.109,,,,,
11,Zelmo Beaty,C,27,STL,48,1661,16.5,.528,,.375,,,,5.1,,,,,,3.1,1.4,4.5,.131,,,,,
12,Walt Bellamy*,C,27,NYK,79,3010,18.4,.560,,.535,,,,9.2,,,,,,7.4,1.4,8.8,.140,,,,,
13,Dave Bing*,PG,23,DET,80,2762,16.5,.475,,.243,,,,18.1,,,,,,2.0,3.2,5.3,.092,,,,,
14,John Block,PF,22,LAL,22,118,15.1,.478,,.654,,,,5.3,,,,,,0.1,0.1,0.2,.079,,,,,
15,Bob Boozer,PF,29,CHI,80,2451,18.4,.549,,.418,,,,5.3,,,,,,6.6,2.9,9.4,.184,,,,,
16,Nate Bowman,C,23,CHI,9,65,9.8,.449,,.381,,,,3.9,,,,,,0.0,0.1,0.1,.067,,,,,
17,Bill Bridges,PF,27,STL,79,3130,16.8,.514,,.473,,,,9.5,,,,,,4.3,3.3,7.6,.117,,,,,
18,Em Bryant,PG,28,NYK,63,1593,10.0,.435,,.198,,,,17.4,,,,,,-0.5,0.6,0.1,.003,,,,,
