Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz,C,27,HOU,79,2459,15.9,.516,,.328,11.4,28.6,20.1,8.9,1.5,2.3,,,,3.3,3.2,6.5,.126,,-0.7,1.7,1.0,1.8
2,Kareem Abdul-Jabbar*,C,26,MIL,81,3548,24.4,.564,,.239,8.8,23.9,16.9,16.1,1.4,4.0,,,,10.6,7.9,18.4,.250,,4.9,3.6,8.5,9.4
3,Mahdi Abdul-Rahman,PG,31,SEA,49,571,12.6,.465,,.250,2.9,7.0,4.8,27.6,2.0,0.5,,,,0.2,0.4,0.6,.051,,-1.5,-1.7,-3.2,-0.2
4,Don Adams,SF,26,DET,74,2298,10.9,.457,,.271,6.0,14.1,10.0,8.3,2.2,0.3,,,,0.1,3.5,3.6,.076,,-2.6,1.5,-1.1,0.5
5,Rick Adelman,PG,27,CHI,55,618,10.0,.447,,.447,2.6,9.0,5.8,12.4,2.7,0.1,,,,-0.3,0.9,0.7,.053,,-3.8,0.8,-3.0,-0.2
6,Lucius Allen,PG,26,MIL,72,2388,18.8,.536,,.258,4.1,8.1,6.2,21.7,2.6,0.5,,,,4.7,3.4,8.2,.164,,3.1,0.4,3.6,3.4
7,Tiny Archibald*,PG,25,KCO,35,1272,18.3,.527,,.429,1.7,5.3,3.5,30.7,2.0,0.3,,,,1.8,0.5,2.3,.088,,2.9,-2.3,0.6,0.8
8,Dennis Awtrey,C,25,CHI,68,756,11.4,.560,,.764,6.6,17.4,11.9,15.2,1.3,1.0,,,,0.2,1.2,1.4,.091,,-1.5,1.8,0.3,0.4
9,Mike Bantom,PF,22,PHO,76,1982,11.7,.437,,.271,8.9,17.5,13.3,11.1,1.1,1.2,,,,-0.8,1.3,0.5,.012,,-2.3,-0.7,-2.9,-0.5
10,Dick Barnett,SG,37,NYK,5,58,9.4,.403,,.115,1.8,5.4,3.6,14.6,0.8,0.0,,,,0.0,0.0,0.0,.005,,-5.2,-3.0,-8.2,-0.1
