Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
44,Ed Kalafat,PF,22,MNL,72,1102,9.7,.386,,.448,,,,,,,,,,-0.9,1.6,0.7,.029,,,,,
45,Mike Kearns,PG,25,PHW,6,25,1.0,.074,,.800,,,,,,,,,,-0.1,0.0,-0.1,-0.223,,,,,
46,Billy Kenville,SG,24,SYR,70,1380,13.6,.437,,.417,,,,,,,,,,0.8,2.2,3.0,.104,,,,,
47,Red Kerr,C,22,SYR,72,1529,18.2,.462,,.311,,,,,,,,,,2.0,3.0,5.0,.157,,,,,
48,Dan King,F,24,BLB,12,103,,.360,,.455,,,,,,,,,,,,,,,,,,
49,George King,PG,26,SYR,67,2015,12.8,.422,,.379,,,,,,,,,,0.6,3.2,3.8,.090,,,,,
50,Bob Knight,G-F,25,NYK,2,29,11.9,.470,,.143,,,,,,,,,,0.0,0.0,0.1,.117,,,,,
51,Earl Lloyd*,SF,26,SYR,72,2212,11.6,.417,,.270,,,,,,,,,,-0.3,3.9,3.6,.077,,,,,
52,Clyde Lovellette*,C,25,MNL,70,2361,21.0,.479,,.334,,,,,,,,,,4.9,3.6,8.5,.173,,,,,
53,Ed Macauley*,C,26,BOS,71,2706,18.6,.522,,.587,,,,,,,,,,7.5,1.4,8.9,.157,,,,,
54,Ronnie MacGilvray,PG,24,MLH,6,57,7.9,.265,,.583,,,,,,,,,,-0.1,0.1,-0.1,-0.046,,,,,
55,Tom Marshall,SF,24,ROC,72,1337,17.0,.489,,.384,,,,,,,,,,2.7,0.8,3.5,.125,,,,,
56,Phil Martin,SF,26,MLH,7,47,6.6,.302,,.105,,,,,,,,,,-0.2,0.1,-0.1,-0.094,,,,,
57,Slater Martin*,PG,29,MNL,72,2784,14.1,.453,,.391,,,,,,,,,,3.0,3.2,6.2,.107,,,,,
58,Ken McBride,SG,,MLH,12,249,7.9,.366,,.197,,,,,,,,,,-0.6,0.2,-0.4,-0.084,,,,,
59,Alfred McGuire*,PG,26,BLB,10,98,,.328,,.219,,,,,,,,,,,,,,,,,,
60,Dick McGuire*,PG,29,NYK,71,2310,16.8,.453,,.522,,,,,,,,,,2.7,2.6,5.3,.110,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Jack McMahon,PG,26,ROC,72,1807,11.1,.393,,.312,,,,,,,,,,-1.2,1.0,-0.2,-0.006,,,,,
62,Carl McNulty,SG,24,MLH,1,14,-9.7,.167,,.000,,,,,,,,,,-0.1,0.0,-0.1,-0.357,,,,,
63,Monk Meineke,PF,24,FTW,68,1026,12.5,.444,,.464,,,,,,,,,,0.6,1.2,1.8,.086,,,,,
64,Vern Mikkelsen*,PF,26,MNL,71,2559,20.1,.508,,.573,,,,,,,,,,7.4,3.6,10.9,.205,,,,,
65,Jackie Moore,F,22,TOT,23,376,,.405,,.409,,,,,,,,,,,,,,,,,,
66,Red Morrison,C,22,BOS,71,1227,11.6,.466,,.405,,,,,,,,,,1.0,0.8,1.7,.068,,,,,
