1,Paul Arizin*,1958-1959,PHW
2,Elgin Baylor*,1958-1959,MNL
3,Ernie Beck,1958-1959,PHW
4,Al Bianchi,1958-1959,SYR
5,Jerry Bird,1958-1959,NYK
6,Bucky Bockhorn,1958-1959,CIN
7,Carl Braun,1958-1959,NYK
8,Pete Brennan,1958-1959,NYK
9,Barney Cable,1958-1959,DET
10,Gene Conley,1958-1959,BOS
11,Ed Conlin,1958-1959,SYR
11,Ed Conlin,1958-1959,DET
12,Larry Costello,1958-1959,SYR
13,Bob Cousy*,1958-1959,BOS
14,Archie Dees,1958-1959,CIN
15,George Dempsey,1958-1959,SYR
15,George Dempsey,1958-1959,PHW
16,Connie Dierking,1958-1959,SYR
17,Walter Dukes,1958-1959,DET
18,Boo Ellis,1958-1959,MNL
19,Wayne Embry*,1958-1959,CIN
20,Dick Farley,1958-1959,DET
21,Mike Farmer,1958-1959,NYK
22,Ray Felix,1958-1959,NYK
23,Al Ferrari,1958-1959,STL
24,Ed Fleming,1958-1959,MNL
25,Larry Foust,1958-1959,MNL
26,Dave Gambee,1958-1959,STL
27,Dick Garmaker,1958-1959,MNL
28,Jack George,1958-1959,PHW
28,Jack George,1958-1959,NYK
29,Tom Gola*,1958-1959,PHW
30,Joe Graboski,1958-1959,PHW
31,Si Green,1958-1959,STL
31,Si Green,1958-1959,CIN
32,Hal Greer*,1958-1959,SYR
33,Richie Guerin*,1958-1959,NYK
34,Cliff Hagan*,1958-1959,STL
35,Steve Hamilton,1958-1959,MNL
36,Vern Hatton,1958-1959,PHW
36,Vern Hatton,1958-1959,CIN
37,Tom Heinsohn*,1958-1959,BOS
38,Joe Holup,1958-1959,DET
39,Bob Hopkins,1958-1959,SYR
40,Hot Rod Hundley,1958-1959,MNL
41,Andy Johnson,1958-1959,PHW
42,Neil Johnston*,1958-1959,PHW
43,K.C. Jones*,1958-1959,BOS
44,Sam Jones*,1958-1959,BOS
45,Phil Jordon,1958-1959,DET
46,Tommy Kearns,1958-1959,SYR
47,Red Kerr,1958-1959,SYR
48,Jim Krebs,1958-1959,MNL
49,Slick Leonard*,1958-1959,MNL
50,Earl Lloyd*,1958-1959,DET
51,Jim Loscutoff,1958-1959,BOS
52,Clyde Lovellette*,1958-1959,STL
53,Ed Macauley*,1958-1959,STL
54,Tom Marshall,1958-1959,CIN
55,Slater Martin*,1958-1959,STL
56,Brendan McCann,1958-1959,NYK
57,Johnny McCarthy,1958-1959,CIN
58,Dick McGuire*,1958-1959,DET
59,Jack McMahon,1958-1959,STL
60,Shellie McMillon,1958-1959,DET
61,Vern Mikkelsen*,1958-1959,MNL
62,Willie Naulls,1958-1959,NYK
63,Chuck Noble,1958-1959,DET
64,Togo Palazzi,1958-1959,SYR
65,Jim Palmer,1958-1959,CIN
66,Med Park,1958-1959,STL
66,Med Park,1958-1959,CIN
67,Jack Parr,1958-1959,CIN
68,Bob Pettit*,1958-1959,STL
69,Dave Piontek,1958-1959,CIN
70,Frank Ramsey*,1958-1959,BOS
71,Hub Reed,1958-1959,STL
72,Guy Rodgers*,1958-1959,PHW
73,Phil Rollins,1958-1959,PHW
73,Phil Rollins,1958-1959,CIN
74,Lennie Rosenbluth,1958-1959,PHW
75,Bill Russell*,1958-1959,BOS
76,Woody Sauldsberry,1958-1959,PHW
77,Dolph Schayes*,1958-1959,SYR
78,Kenny Sears,1958-1959,NYK
79,Frank Selvy,1958-1959,NYK
80,Paul Seymour,1958-1959,SYR
81,Chuck Share,1958-1959,STL
82,Bill Sharman*,1958-1959,BOS
83,Gene Shue,1958-1959,DET
84,Ron Sobie,1958-1959,NYK
85,Guy Sparrow,1958-1959,PHW
85,Guy Sparrow,1958-1959,NYK
86,Larry Staverman,1958-1959,CIN
87,Bennie Swain,1958-1959,BOS
88,Lou Tsioropoulos,1958-1959,BOS
89,Jack Twyman*,1958-1959,CIN
90,Charlie Tyra,1958-1959,NYK
91,Win Wilfong,1958-1959,STL
92,George Yardley*,1958-1959,SYR
92,George Yardley*,1958-1959,DET
