1,Mahmoud Abdul-Rauf,1996-1997,SAC
2,Shareef Abdur-Rahim,1996-1997,VAN
3,Rafael Addison,1996-1997,CHH
4,Cory Alexander,1996-1997,SAS
5,Jerome Allen,1996-1997,IND
5,Jerome Allen,1996-1997,DEN
6,Ray Allen,1996-1997,MIL
7,Derrick Alston,1996-1997,ATL
8,Ashraf Amaya,1996-1997,WSB
9,Greg Anderson,1996-1997,SAS
10,Kenny Anderson,1996-1997,POR
11,Nick Anderson,1996-1997,ORL
12,Shandon Anderson,1996-1997,UTA
13,Willie Anderson,1996-1997,MIA
14,Greg Anthony,1996-1997,VAN
15,B.J. Armstrong,1996-1997,GSW
16,Darrell Armstrong,1996-1997,ORL
17,Vincent Askew,1996-1997,NJN
17,Vincent Askew,1996-1997,IND
17,Vincent Askew,1996-1997,DEN
18,Keith Askins,1996-1997,MIA
19,Stacey Augmon,1996-1997,POR
19,Stacey Augmon,1996-1997,DET
20,Isaac Austin,1996-1997,MIA
21,Vin Baker,1996-1997,MIL
22,Charles Barkley*,1996-1997,HOU
23,Dana Barros,1996-1997,BOS
24,Brent Barry,1996-1997,LAC
25,Jon Barry,1996-1997,ATL
26,Benoit Benjamin,1996-1997,TOR
27,Elmer Bennett,1996-1997,HOU
27,Elmer Bennett,1996-1997,DEN
28,Travis Best,1996-1997,IND
29,Mookie Blaylock,1996-1997,ATL
30,Corie Blount,1996-1997,LAL
31,Muggsy Bogues,1996-1997,CHH
32,Dexter Boney,1996-1997,PHO
33,Melvin Booker,1996-1997,GSW
33,Melvin Booker,1996-1997,DEN
34,Bruce Bowen,1996-1997,MIA
35,Donnie Boyce,1996-1997,ATL
36,Shawn Bradley,1996-1997,NJN
36,Shawn Bradley,1996-1997,DAL
37,Mark Bradtke,1996-1997,PHI
38,Terrell Brandon,1996-1997,CLE
39,Frank Brickowski,1996-1997,BOS
40,Scott Brooks,1996-1997,NYK
41,Chucky Brown,1996-1997,PHO
41,Chucky Brown,1996-1997,MIL
42,Dee Brown,1996-1997,BOS
43,Marcus Brown,1996-1997,POR
44,Mike Brown,1996-1997,PHO
45,P.J. Brown,1996-1997,MIA
46,Randy Brown,1996-1997,CHI
47,Kobe Bryant,1996-1997,LAL
48,Mark Bryant,1996-1997,PHO
49,Jud Buechler,1996-1997,CHI
50,Matt Bullard,1996-1997,HOU
51,Scott Burrell,1996-1997,GSW
51,Scott Burrell,1996-1997,CHH
52,Willie Burton,1996-1997,ATL
53,Mitchell Butler,1996-1997,POR
54,Jason Caffey,1996-1997,CHI
55,Michael Cage,1996-1997,PHI
56,Adrian Caldwell,1996-1997,PHI
56,Adrian Caldwell,1996-1997,NJN
57,Marcus Camby,1996-1997,TOR
58,Elden Campbell,1996-1997,LAL
59,Antoine Carr,1996-1997,UTA
60,Chris Carr,1996-1997,MIN
61,Jimmy Carruth,1996-1997,MIL
62,Sam Cassell,1996-1997,PHO
62,Sam Cassell,1996-1997,NJN
62,Sam Cassell,1996-1997,DAL
63,Duane Causwell,1996-1997,SAC
64,Cedric Ceballos,1996-1997,PHO
64,Cedric Ceballos,1996-1997,LAL
65,Tom Chambers,1996-1997,CHH
66,Rex Chapman,1996-1997,PHO
67,Calbert Cheaney,1996-1997,WSB
68,Pete Chilcutt,1996-1997,VAN
69,Randolph Childress,1996-1997,POR
69,Randolph Childress,1996-1997,DET
70,Chris Childs,1996-1997,NYK
71,Doug Christie,1996-1997,TOR
72,Derrick Coleman,1996-1997,PHI
73,Bimbo Coles,1996-1997,GSW
74,Marty Conlon,1996-1997,BOS
75,Tyrone Corbin,1996-1997,ATL
76,Joe Courtney,1996-1997,SAS
76,Joe Courtney,1996-1997,PHI
77,John Crotty,1996-1997,MIA
78,Terry Cummings,1996-1997,SEA
79,Earl Cureton,1996-1997,TOR
80,Dell Curry,1996-1997,CHH
81,Michael Curry,1996-1997,DET
82,Erick Dampier,1996-1997,IND
83,Lloyd Daniels,1996-1997,SAC
83,Lloyd Daniels,1996-1997,NJN
84,Sasha Danilovic,1996-1997,MIA
84,Sasha Danilovic,1996-1997,DAL
85,Yinka Dare,1996-1997,NJN
86,Antonio Davis,1996-1997,IND
87,Ben Davis,1996-1997,PHO
88,Dale Davis,1996-1997,IND
89,Emanual Davis,1996-1997,HOU
90,Hubert Davis,1996-1997,TOR
91,Mark Davis,1996-1997,PHI
92,Todd Day,1996-1997,BOS
93,Andrew DeClercq,1996-1997,GSW
94,Terry Dehere,1996-1997,LAC
95,Vinny Del Negro,1996-1997,SAS
96,Bison Dele,1996-1997,CHI
97,Tony Delk,1996-1997,CHH
98,Dell Demps,1996-1997,ORL
99,Vlade Divac,1996-1997,CHH
100,Aleksandar Djordjevic,1996-1997,POR
101,Sherman Douglas,1996-1997,MIL
102,Greg Dreiling,1996-1997,DAL
103,Clyde Drexler*,1996-1997,HOU
104,Nate Driggers,1996-1997,BOS
105,Kevin Duckworth,1996-1997,LAC
106,Chris Dudley,1996-1997,POR
107,Joe Dumars*,1996-1997,DET
108,Tony Dumas,1996-1997,PHO
108,Tony Dumas,1996-1997,DAL
109,Acie Earl,1996-1997,TOR
109,Acie Earl,1996-1997,MIL
110,Tyus Edney,1996-1997,SAC
111,Blue Edwards,1996-1997,VAN
112,Kevin Edwards,1996-1997,NJN
113,Craig Ehlo,1996-1997,SEA
114,Howard Eisley,1996-1997,UTA
115,Mario Elie,1996-1997,HOU
116,Sean Elliott,1996-1997,SAS
117,Dale Ellis,1996-1997,DEN
118,LaPhonso Ellis,1996-1997,DEN
119,Pervis Ellison,1996-1997,BOS
120,Brian Evans,1996-1997,ORL
121,Patrick Ewing*,1996-1997,NYK
122,Jamie Feick,1996-1997,SAS
122,Jamie Feick,1996-1997,CHH
123,Duane Ferrell,1996-1997,IND
124,Danny Ferry,1996-1997,CLE
125,Michael Finley,1996-1997,PHO
125,Michael Finley,1996-1997,DAL
126,Matt Fish,1996-1997,WSB
126,Matt Fish,1996-1997,MIA
127,Derek Fisher,1996-1997,LAL
128,Greg Foster,1996-1997,UTA
129,Rick Fox,1996-1997,BOS
130,Todd Fuller,1996-1997,GSW
131,Kevin Gamble,1996-1997,SAC
132,Kevin Garnett,1996-1997,MIN
133,Dean Garrett,1996-1997,MIN
134,Chris Gatling,1996-1997,NJN
134,Chris Gatling,1996-1997,DAL
135,Reggie Geary,1996-1997,CLE
136,Matt Geiger,1996-1997,CHH
