1,Gary Alcorn,1960-1961,LAL
2,Paul Arizin*,1960-1961,PHW
3,Al Attles,1960-1961,PHW
4,Dick Barnett,1960-1961,SYR
5,Elgin Baylor*,1960-1961,LAL
6,Ernie Beck,1960-1961,SYR
6,Ernie Beck,1960-1961,STL
7,Whitey Bell,1960-1961,NYK
8,Al Bianchi,1960-1961,SYR
9,Bucky Bockhorn,1960-1961,CIN
10,Bob Boozer,1960-1961,CIN
11,Carl Braun,1960-1961,NYK
12,Dave Budd,1960-1961,NYK
13,Barney Cable,1960-1961,SYR
14,Wilt Chamberlain*,1960-1961,PHW
15,Gene Conley,1960-1961,BOS
16,Ed Conlin,1960-1961,PHW
17,Larry Costello,1960-1961,SYR
18,Bob Cousy*,1960-1961,BOS
19,Ralph Davis,1960-1961,CIN
20,Archie Dees,1960-1961,DET
21,Walter Dukes,1960-1961,DET
22,Wayne Embry*,1960-1961,CIN
23,Mike Farmer,1960-1961,NYK
23,Mike Farmer,1960-1961,CIN
24,Ray Felix,1960-1961,LAL
25,Al Ferrari,1960-1961,STL
26,Bob Ferry,1960-1961,DET
27,Larry Foust,1960-1961,STL
28,Dave Gambee,1960-1961,SYR
29,Dick Garmaker,1960-1961,NYK
30,Jack George,1960-1961,NYK
31,Tom Gola*,1960-1961,PHW
32,Joe Graboski,1960-1961,PHW
33,Johnny Green,1960-1961,NYK
34,Si Green,1960-1961,STL
35,Hal Greer*,1960-1961,SYR
36,Gene Guarilia,1960-1961,BOS
37,Richie Guerin*,1960-1961,NYK
38,Cliff Hagan*,1960-1961,STL
39,Swede Halbrook,1960-1961,SYR
40,Vern Hatton,1960-1961,PHW
41,Tom Hawkins,1960-1961,LAL
42,Tom Heinsohn*,1960-1961,BOS
43,Bailey Howell*,1960-1961,DET
44,Hot Rod Hundley,1960-1961,LAL
45,Darrall Imhoff,1960-1961,NYK
46,Andy Johnson,1960-1961,PHW
47,Ron Johnson,1960-1961,LAL
47,Ron Johnson,1960-1961,DET
48,Howie Jolliff,1960-1961,LAL
49,K.C. Jones*,1960-1961,BOS
50,Sam Jones*,1960-1961,BOS
51,Willie Jones,1960-1961,DET
52,Phil Jordon,1960-1961,NYK
52,Phil Jordon,1960-1961,CIN
53,Pickles Kennedy,1960-1961,PHW
54,Red Kerr,1960-1961,SYR
55,Jim Krebs,1960-1961,LAL
56,Fred LaCour,1960-1961,STL
57,Rudy LaRusso,1960-1961,LAL
58,George Lee,1960-1961,DET
59,Slick Leonard*,1960-1961,LAL
60,Jim Loscutoff,1960-1961,BOS
61,Clyde Lovellette*,1960-1961,STL
62,Johnny McCarthy,1960-1961,STL
63,Shellie McMillon,1960-1961,DET
64,Bob McNeill,1960-1961,NYK
65,Jackie Moreland,1960-1961,DET
66,Willie Naulls,1960-1961,NYK
67,Chuck Noble,1960-1961,DET
68,Don Ohl,1960-1961,DET
69,Jim Palmer,1960-1961,NYK
70,Bob Pettit*,1960-1961,STL
71,Dave Piontek,1960-1961,STL
72,Cal Ramsey,1960-1961,SYR
73,Frank Ramsey*,1960-1961,BOS
74,Hub Reed,1960-1961,CIN
75,Joe Roberts,1960-1961,SYR
76,Oscar Robertson*,1960-1961,CIN
77,Guy Rodgers*,1960-1961,PHW
78,Phil Rollins,1960-1961,STL
78,Phil Rollins,1960-1961,NYK
78,Phil Rollins,1960-1961,CIN
79,Joe Ruklick,1960-1961,PHW
80,Bill Russell*,1960-1961,BOS
81,Tom Sanders*,1960-1961,BOS
82,Woody Sauldsberry,1960-1961,STL
83,Dolph Schayes*,1960-1961,SYR
84,Kenny Sears,1960-1961,NYK
85,Frank Selvy,1960-1961,LAL
86,Bill Sharman*,1960-1961,BOS
87,Gene Shue,1960-1961,DET
88,Larry Staverman,1960-1961,CIN
89,Jack Twyman*,1960-1961,CIN
90,Charlie Tyra,1960-1961,NYK
91,Jerry West*,1960-1961,LAL
92,Win Wilfong,1960-1961,CIN
93,Lenny Wilkens*,1960-1961,STL
