1,Alaa Abdelnaby,1990-1991,POR
2,Mahmoud Abdul-Rauf,1990-1991,DEN
3,Mark Acres,1990-1991,ORL
4,Michael Adams,1990-1991,DEN
5,Mark Aguirre,1990-1991,DET
6,Danny Ainge,1990-1991,POR
7,Mark Alarie,1990-1991,WSB
8,Steve Alford,1990-1991,DAL
9,Greg Anderson,1990-1991,NJN
9,Greg Anderson,1990-1991,MIL
9,Greg Anderson,1990-1991,DEN
10,Nick Anderson,1990-1991,ORL
11,Ron Anderson,1990-1991,PHI
12,Willie Anderson,1990-1991,SAS
13,Michael Ansley,1990-1991,ORL
14,B.J. Armstrong,1990-1991,CHI
15,Vincent Askew,1990-1991,GSW
16,Keith Askins,1990-1991,MIA
17,Milos Babic,1990-1991,CLE
18,Thurl Bailey,1990-1991,UTA
19,Cedric Ball,1990-1991,LAC
20,Ken Bannister,1990-1991,LAC
21,Charles Barkley*,1990-1991,PHI
22,Dana Barros,1990-1991,SEA
23,John Battle,1990-1991,ATL
24,Kenny Battle,1990-1991,PHO
24,Kenny Battle,1990-1991,DEN
25,William Bedford,1990-1991,DET
26,Benoit Benjamin,1990-1991,SEA
26,Benoit Benjamin,1990-1991,LAC
27,Winston Bennett,1990-1991,CLE
28,Larry Bird*,1990-1991,BOS
29,Rolando Blackman,1990-1991,DAL
30,Lance Blanks,1990-1991,DET
31,Mookie Blaylock,1990-1991,NJN
32,Muggsy Bogues,1990-1991,CHH
33,Manute Bol,1990-1991,PHI
34,Anthony Bonner,1990-1991,SAC
35,Sam Bowie,1990-1991,NJN
36,Randy Breuer,1990-1991,MIN
37,Frank Brickowski,1990-1991,MIL
38,Scott Brooks,1990-1991,MIN
39,Chucky Brown,1990-1991,CLE
40,Dee Brown,1990-1991,BOS
41,Mike Brown,1990-1991,UTA
42,Tony Brown,1990-1991,UTA
42,Tony Brown,1990-1991,LAL
43,Mark Bryant,1990-1991,POR
44,Jud Buechler,1990-1991,NJN
45,Matt Bullard,1990-1991,HOU
46,Willie Burton,1990-1991,MIA
47,Greg Butler,1990-1991,LAC
48,Michael Cage,1990-1991,SEA
49,Adrian Caldwell,1990-1991,HOU
50,Rick Calloway,1990-1991,SAC
51,Elden Campbell,1990-1991,LAL
52,Tony Campbell,1990-1991,MIN
53,Antoine Carr,1990-1991,SAC
54,Joe Barry Carroll,1990-1991,PHO
55,Bill Cartwright,1990-1991,CHI
56,Terry Catledge,1990-1991,ORL
57,Duane Causwell,1990-1991,SAC
58,Cedric Ceballos,1990-1991,PHO
59,Tom Chambers,1990-1991,PHO
60,Rex Chapman,1990-1991,CHH
61,Maurice Cheeks,1990-1991,NYK
62,Derrick Chievous,1990-1991,CLE
63,Richard Coffey,1990-1991,MIN
64,Derrick Coleman,1990-1991,NJN
65,Bimbo Coles,1990-1991,MIA
66,Steve Colter,1990-1991,SAC
67,Lester Conner,1990-1991,NJN
67,Lester Conner,1990-1991,MIL
68,Anthony Cook,1990-1991,DEN
69,Wayne Cooper,1990-1991,POR
70,Tyrone Corbin,1990-1991,MIN
71,Dave Corzine,1990-1991,SEA
72,Pat Cummings,1990-1991,UTA
73,Terry Cummings,1990-1991,SAS
74,Earl Cureton,1990-1991,CHH
75,Dell Curry,1990-1991,CHH
76,Quintin Dailey,1990-1991,SEA
77,Adrian Dantley*,1990-1991,MIL
78,Brad Daugherty,1990-1991,CLE
79,Brad Davis,1990-1991,DAL
80,Terry Davis,1990-1991,MIA
