1,Jay Arnette,1963-1964,CIN
2,Al Attles,1963-1964,SFW
3,Dick Barnett,1963-1964,LAL
4,John Barnhill,1963-1964,STL
5,Elgin Baylor*,1963-1964,LAL
6,Zelmo Beaty,1963-1964,STL
7,Walt Bellamy*,1963-1964,BAL
8,Al Bianchi,1963-1964,PHI
9,Bucky Bockhorn,1963-1964,CIN
10,Bob Boozer,1963-1964,NYK
10,Bob Boozer,1963-1964,CIN
11,Bill Bridges,1963-1964,STL
12,Dave Budd,1963-1964,NYK
13,Donnie Butcher,1963-1964,NYK
13,Donnie Butcher,1963-1964,DET
14,Al Butler,1963-1964,NYK
15,Barney Cable,1963-1964,BAL
16,Wilt Chamberlain*,1963-1964,SFW
17,Len Chappell,1963-1964,PHI
17,Len Chappell,1963-1964,NYK
18,Larry Comley,1963-1964,BAL
19,Gene Conley,1963-1964,NYK
20,Larry Costello,1963-1964,PHI
21,Dave DeBusschere*,1963-1964,DET
22,Connie Dierking,1963-1964,PHI
23,Terry Dischinger,1963-1964,BAL
24,Bob Duffy,1963-1964,STL
24,Bob Duffy,1963-1964,NYK
24,Bob Duffy,1963-1964,DET
25,Johnny Egan,1963-1964,NYK
25,Johnny Egan,1963-1964,DET
26,Leroy Ellis,1963-1964,LAL
27,Wayne Embry*,1963-1964,CIN
28,Mike Farmer,1963-1964,STL
29,Bob Ferry,1963-1964,DET
30,Dave Gambee,1963-1964,PHI
31,Mel Gibson,1963-1964,LAL
32,Tom Gola*,1963-1964,NYK
33,Johnny Green,1963-1964,NYK
34,Si Green,1963-1964,BAL
35,Jerry Greenspan,1963-1964,PHI
36,Hal Greer*,1963-1964,PHI
37,Richie Guerin*,1963-1964,STL
37,Richie Guerin*,1963-1964,NYK
38,Cliff Hagan*,1963-1964,STL
39,Reggie Harding,1963-1964,DET
40,Charlie Hardnett,1963-1964,BAL
41,Jerry Harkness,1963-1964,NYK
42,John Havlicek*,1963-1964,BOS
43,Tom Hawkins,1963-1964,CIN
44,Tom Heinsohn*,1963-1964,BOS
45,Art Heyman,1963-1964,NYK
46,Wayne Hightower,1963-1964,SFW
47,Gary Hill,1963-1964,SFW
48,Paul Hogue,1963-1964,NYK
48,Paul Hogue,1963-1964,BAL
49,Tom Hoover,1963-1964,NYK
50,Bailey Howell*,1963-1964,DET
51,Darrall Imhoff,1963-1964,DET
52,Gus Johnson*,1963-1964,BAL
53,K.C. Jones*,1963-1964,BOS
54,Sam Jones*,1963-1964,BOS
55,Willie Jones,1963-1964,DET
56,Red Kerr,1963-1964,PHI
57,Jim King,1963-1964,LAL
58,Don Kojis,1963-1964,BAL
59,Jim Krebs,1963-1964,LAL
60,Rudy LaRusso,1963-1964,LAL
61,George Lee,1963-1964,SFW
62,Jim Loscutoff,1963-1964,BOS
63,Kevin Loughery,1963-1964,DET
63,Kevin Loughery,1963-1964,BAL
64,Clyde Lovellette*,1963-1964,BOS
65,Jerry Lucas*,1963-1964,CIN
66,Johnny McCarthy,1963-1964,BOS
67,Bill McGill,1963-1964,NYK
67,Bill McGill,1963-1964,BAL
68,Tom Meschery,1963-1964,SFW
69,Eddie Miles,1963-1964,DET
70,Jackie Moreland,1963-1964,DET
71,Willie Naulls,1963-1964,BOS
72,Don Nelson*,1963-1964,LAL
73,Paul Neumann,1963-1964,PHI
74,Bevo Nordmann,1963-1964,STL
74,Bevo Nordmann,1963-1964,NYK
75,Don Ohl,1963-1964,DET
76,Bud Olsen,1963-1964,CIN
77,Mel Peterson,1963-1964,BAL
78,Bob Pettit*,1963-1964,STL
79,Gary Phillips,1963-1964,SFW
80,Frank Ramsey*,1963-1964,BOS
81,Hub Reed,1963-1964,LAL
82,Oscar Robertson*,1963-1964,CIN
83,Guy Rodgers*,1963-1964,SFW
84,Ken Rohloff,1963-1964,STL
85,John Rudometkin,1963-1964,NYK
86,Bill Russell*,1963-1964,BOS
87,Tom Sanders*,1963-1964,BOS
88,Dolph Schayes*,1963-1964,PHI
89,Ray Scott,1963-1964,DET
90,Kenny Sears,1963-1964,SFW
91,Frank Selvy,1963-1964,LAL
92,Lee Shaffer,1963-1964,PHI
93,Gene Shue,1963-1964,BAL
94,Larry Siegfried,1963-1964,BOS
95,Adrian Smith,1963-1964,CIN
96,Larry Staverman,1963-1964,DET
96,Larry Staverman,1963-1964,CIN
96,Larry Staverman,1963-1964,BAL
97,Roger Strickland,1963-1964,BAL
98,Tom Thacker,1963-1964,CIN
99,Rod Thorn,1963-1964,BAL
100,Nate Thurmond*,1963-1964,SFW
101,Gene Tormohlen,1963-1964,STL
102,Jack Twyman*,1963-1964,CIN
103,Chico Vaughn,1963-1964,STL
104,Chet Walker*,1963-1964,PHI
105,Gerry Ward,1963-1964,STL
106,Ben Warley,1963-1964,PHI
107,Jerry West*,1963-1964,LAL
108,Hubie White,1963-1964,PHI
109,Gene Wiley,1963-1964,LAL
110,Lenny Wilkens*,1963-1964,STL
111,John Windsor,1963-1964,SFW
