1,Kareem Abdul-Jabbar*,1988-1989,LAL
2,Mark Acres,1988-1989,BOS
3,Michael Adams,1988-1989,DEN
4,Mark Aguirre,1988-1989,DET
4,Mark Aguirre,1988-1989,DAL
5,Danny Ainge,1988-1989,SAC
5,Danny Ainge,1988-1989,BOS
6,Mark Alarie,1988-1989,WSB
7,Steve Alford,1988-1989,GSW
7,Steve Alford,1988-1989,DAL
8,Randy Allen,1988-1989,SAC
9,Greg Anderson,1988-1989,SAS
10,Michael Anderson,1988-1989,SAS
11,Richard Anderson,1988-1989,POR
12,Ron Anderson,1988-1989,PHI
13,Willie Anderson,1988-1989,SAS
14,John Bagley,1988-1989,NJN
15,Thurl Bailey,1988-1989,UTA
16,Greg Ballard,1988-1989,SEA
17,Ken Bannister,1988-1989,LAC
18,Charles Barkley*,1988-1989,PHI
19,John Battle,1988-1989,ATL
20,Benoit Benjamin,1988-1989,LAC
21,Ricky Berry,1988-1989,SAC
22,Walter Berry,1988-1989,NJN
22,Walter Berry,1988-1989,HOU
23,Larry Bird*,1988-1989,BOS
24,Otis Birdsong,1988-1989,BOS
25,Uwe Blab,1988-1989,DAL
26,Rolando Blackman,1988-1989,DAL
27,Muggsy Bogues,1988-1989,CHH
28,Manute Bol,1988-1989,GSW
29,Anthony Bowie,1988-1989,SAS
30,Sam Bowie,1988-1989,POR
31,Dudley Bradley,1988-1989,ATL
32,Adrian Branch,1988-1989,POR
33,Randy Breuer,1988-1989,MIL
34,Frank Brickowski,1988-1989,SAS
35,Scott Brooks,1988-1989,PHI
36,Mike Brown,1988-1989,UTA
37,Tony Brown,1988-1989,MIL
37,Tony Brown,1988-1989,HOU
38,Mark Bryant,1988-1989,POR
39,Greg Butler,1988-1989,NYK
40,Michael Cage,1988-1989,SEA
41,Tony Campbell,1988-1989,LAL
42,Antoine Carr,1988-1989,ATL
43,Joe Barry Carroll,1988-1989,NJN
44,Bill Cartwright,1988-1989,CHI
45,Terry Catledge,1988-1989,WSB
46,Ron Cavenall,1988-1989,NJN
47,Tom Chambers,1988-1989,PHO
48,Mike Champion,1988-1989,SEA
49,Rex Chapman,1988-1989,CHH
50,Maurice Cheeks,1988-1989,PHI
51,Derrick Chievous,1988-1989,HOU
52,Ben Coleman,1988-1989,PHI
53,Steve Colter,1988-1989,WSB
54,Dallas Comegys,1988-1989,SAS
55,Lester Conner,1988-1989,NJN
56,Darwin Cook,1988-1989,SAS
56,Darwin Cook,1988-1989,DEN
57,Michael Cooper,1988-1989,LAL
58,Wayne Cooper,1988-1989,DEN
59,Tyrone Corbin,1988-1989,PHO
60,Dave Corzine,1988-1989,CHI
61,Winston Crite,1988-1989,PHO
62,Pat Cummings,1988-1989,MIA
63,Terry Cummings,1988-1989,MIL
64,Earl Cureton,1988-1989,CHH
65,Dell Curry,1988-1989,CHH
66,Quintin Dailey,1988-1989,LAC
67,Adrian Dantley*,1988-1989,DET
67,Adrian Dantley*,1988-1989,DAL
68,Brad Daugherty,1988-1989,CLE
