1,Kareem Abdul-Jabbar*,1984-1985,LAL
2,Alvan Adams,1984-1985,PHO
3,Mark Aguirre,1984-1985,DAL
4,Danny Ainge,1984-1985,BOS
5,Chuck Aleksinas,1984-1985,GSW
6,J.J. Anderson,1984-1985,UTA
7,Ron Anderson,1984-1985,CLE
8,John Bagley,1984-1985,CLE
9,James Bailey,1984-1985,NYK
10,Thurl Bailey,1984-1985,UTA
11,Greg Ballard,1984-1985,WSB
12,Gene Banks,1984-1985,SAS
13,Ken Bannister,1984-1985,NYK
14,Charles Barkley*,1984-1985,PHI
15,Kent Benson,1984-1985,DET
16,Larry Bird*,1984-1985,BOS
17,Otis Birdsong,1984-1985,NJN
18,Rolando Blackman,1984-1985,DAL
19,Cory Blackwell,1984-1985,SEA
20,Sam Bowie,1984-1985,POR
21,Dudley Bradley,1984-1985,WSB
22,Mike Bratz,1984-1985,GSW
23,Randy Breuer,1984-1985,MIL
24,Ron Brewer,1984-1985,SAS
24,Ron Brewer,1984-1985,NJN
25,Frank Brickowski,1984-1985,SEA
26,Junior Bridgeman,1984-1985,LAC
27,Rickey Brown,1984-1985,ATL
28,Tony Brown,1984-1985,IND
29,Wallace Bryant,1984-1985,DAL
30,Quinn Buckner,1984-1985,BOS
31,Steve Burtt,1984-1985,GSW
32,Don Buse,1984-1985,KCK
33,Michael Cage,1984-1985,LAC
34,Tony Campbell,1984-1985,DET
35,Rick Carlisle,1984-1985,BOS
36,Antoine Carr,1984-1985,ATL
37,Kenny Carr,1984-1985,POR
38,M.L. Carr,1984-1985,BOS
39,Butch Carter,1984-1985,NYK
40,Howard Carter,1984-1985,DAL
41,Harvey Catchings,1984-1985,LAC
42,Ron Cavenall,1984-1985,NYK
43,Tom Chambers,1984-1985,SEA
44,Maurice Cheeks,1984-1985,PHI
45,Carlos Clark,1984-1985,BOS
46,Don Collins,1984-1985,WSB
47,Steve Colter,1984-1985,POR
48,Lester Conner,1984-1985,GSW
49,Darwin Cook,1984-1985,NJN
50,Jeff Cook,1984-1985,SAS
50,Jeff Cook,1984-1985,CLE
51,Joe Cooper,1984-1985,SEA
52,Michael Cooper,1984-1985,LAL
53,Wayne Cooper,1984-1985,DEN
54,Dave Corzine,1984-1985,CHI
55,Charlie Criss,1984-1985,ATL
56,Pat Cummings,1984-1985,NYK
57,Terry Cummings,1984-1985,MIL
58,Earl Cureton,1984-1985,DET
59,Quintin Dailey,1984-1985,CHI
