1,Alaa Abdelnaby,1991-1992,POR
2,Mahmoud Abdul-Rauf,1991-1992,DEN
3,Mark Acres,1991-1992,ORL
4,Michael Adams,1991-1992,WSB
5,Rafael Addison,1991-1992,NJN
6,Mark Aguirre,1991-1992,DET
7,Danny Ainge,1991-1992,POR
8,Victor Alexander,1991-1992,GSW
9,Greg Anderson,1991-1992,DEN
10,Kenny Anderson,1991-1992,NJN
11,Nick Anderson,1991-1992,ORL
12,Ron Anderson,1991-1992,PHI
13,Willie Anderson,1991-1992,SAS
14,Michael Ansley,1991-1992,PHI
14,Michael Ansley,1991-1992,CHH
15,Greg Anthony,1991-1992,NYK
16,B.J. Armstrong,1991-1992,CHI
17,Vincent Askew,1991-1992,GSW
18,Keith Askins,1991-1992,MIA
19,Stacey Augmon,1991-1992,ATL
20,Isaac Austin,1991-1992,UTA
21,Milos Babic,1991-1992,MIA
22,John Bagley,1991-1992,BOS
23,Thurl Bailey,1991-1992,UTA
23,Thurl Bailey,1991-1992,MIN
24,Steve Bardo,1991-1992,SAS
25,Charles Barkley*,1991-1992,PHI
26,Dana Barros,1991-1992,SEA
27,John Battle,1991-1992,CLE
28,Kenny Battle,1991-1992,GSW
28,Kenny Battle,1991-1992,BOS
29,William Bedford,1991-1992,DET
30,Benoit Benjamin,1991-1992,SEA
31,Winston Bennett,1991-1992,MIA
31,Winston Bennett,1991-1992,CLE
32,David Benoit,1991-1992,UTA
33,Larry Bird*,1991-1992,BOS
34,Rolando Blackman,1991-1992,DAL
35,Lance Blanks,1991-1992,DET
36,Mookie Blaylock,1991-1992,NJN
37,Muggsy Bogues,1991-1992,CHH
38,Manute Bol,1991-1992,PHI
39,Anthony Bonner,1991-1992,SAC
40,Anthony Bowie,1991-1992,ORL
41,Sam Bowie,1991-1992,NJN
42,Terrell Brandon,1991-1992,CLE
43,Randy Breuer,1991-1992,MIN
44,Frank Brickowski,1991-1992,MIL
45,Kevin Brooks,1991-1992,DEN
46,Scott Brooks,1991-1992,MIN
47,Chucky Brown,1991-1992,LAL
47,Chucky Brown,1991-1992,CLE
48,Dee Brown,1991-1992,BOS
49,Mike Brown,1991-1992,UTA
50,Myron Brown,1991-1992,MIN
51,Randy Brown,1991-1992,SAC
52,Tony Brown,1991-1992,SEA
52,Tony Brown,1991-1992,LAC
53,Mark Bryant,1991-1992,POR
54,Jud Buechler,1991-1992,SAS
54,Jud Buechler,1991-1992,NJN
54,Jud Buechler,1991-1992,GSW
55,Matt Bullard,1991-1992,HOU
56,Willie Burton,1991-1992,MIA
57,Steve Burtt,1991-1992,PHO
58,Michael Cage,1991-1992,SEA
59,Demetrius Calip,1991-1992,LAL
60,Elden Campbell,1991-1992,LAL
61,Tony Campbell,1991-1992,MIN
62,Antoine Carr,1991-1992,SAS
63,Bill Cartwright,1991-1992,CHI
64,Terry Catledge,1991-1992,ORL
65,Duane Causwell,1991-1992,SAC
66,Cedric Ceballos,1991-1992,PHO
67,Tom Chambers,1991-1992,PHO
68,Rex Chapman,1991-1992,WSB
68,Rex Chapman,1991-1992,CHH
69,Maurice Cheeks,1991-1992,ATL
70,Pete Chilcutt,1991-1992,SAC
71,Derrick Coleman,1991-1992,NJN
72,Bimbo Coles,1991-1992,MIA
73,Marty Conlon,1991-1992,SEA
74,Lester Conner,1991-1992,MIL
75,Anthony Cook,1991-1992,DEN
76,Wayne Cooper,1991-1992,POR
77,Tom Copa,1991-1992,SAS
78,Lanard Copeland,1991-1992,LAC
79,Tyrone Corbin,1991-1992,UTA
79,Tyrone Corbin,1991-1992,MIN
80,Chris Corchiani,1991-1992,ORL
81,Corey Crowder,1991-1992,UTA
82,Terry Cummings,1991-1992,SAS
83,Dell Curry,1991-1992,CHH
84,Quintin Dailey,1991-1992,SEA
85,Brad Daugherty,1991-1992,CLE
86,Brad Davis,1991-1992,DAL
87,Dale Davis,1991-1992,IND
88,Terry Davis,1991-1992,DAL
89,Walter Davis,1991-1992,DEN
90,Johnny Dawkins,1991-1992,PHI
91,Bison Dele,1991-1992,ORL
92,Vlade Divac,1991-1992,LAL
93,James Donaldson,1991-1992,NYK
93,James Donaldson,1991-1992,DAL
94,Sherman Douglas,1991-1992,MIA
94,Sherman Douglas,1991-1992,BOS
95,Greg Dreiling,1991-1992,IND
96,Clyde Drexler*,1991-1992,POR
97,Kevin Duckworth,1991-1992,POR
98,Chris Dudley,1991-1992,NJN
99,Joe Dumars*,1991-1992,DET
100,Ledell Eackles,1991-1992,WSB
101,Mark Eaton,1991-1992,UTA
102,Patrick Eddie,1991-1992,NYK
103,Blue Edwards,1991-1992,UTA
104,James Edwards,1991-1992,LAC
105,Kevin Edwards,1991-1992,MIA
106,Craig Ehlo,1991-1992,CLE
107,Mario Elie,1991-1992,GSW
108,Sean Elliott,1991-1992,SAS
109,Dale Ellis,1991-1992,MIL
110,LeRon Ellis,1991-1992,LAC
111,Pervis Ellison,1991-1992,WSB
112,A.J. English,1991-1992,WSB
113,Patrick Ewing*,1991-1992,NYK
114,Dave Feitl,1991-1992,NJN
115,Duane Ferrell,1991-1992,ATL
116,Danny Ferry,1991-1992,CLE
117,Vern Fleming,1991-1992,IND
118,Sleepy Floyd,1991-1992,HOU
119,Greg Foster,1991-1992,WSB
120,Rick Fox,1991-1992,BOS
121,Tellis Frank,1991-1992,MIN
122,Anthony Frederick,1991-1992,CHH
123,Kevin Gamble,1991-1992,BOS
124,Winston Garland,1991-1992,DEN
125,Tom Garrick,1991-1992,SAS
125,Tom Garrick,1991-1992,MIN
125,Tom Garrick,1991-1992,DAL
126,Chris Gatling,1991-1992,GSW
127,Kenny Gattison,1991-1992,CHH
128,Tate George,1991-1992,NJN
129,Kendall Gill,1991-1992,CHH
130,Armen Gilliam,1991-1992,PHI
131,Gerald Glass,1991-1992,MIN
132,Mike Gminski,1991-1992,CHH
133,Dan Godfread,1991-1992,HOU
134,Paul Graham,1991-1992,ATL
135,Ron Grandison,1991-1992,CHH
136,Gary Grant,1991-1992,LAC
137,Greg Grant,1991-1992,PHI
137,Greg Grant,1991-1992,CHH
138,Harvey Grant,1991-1992,WSB
139,Horace Grant,1991-1992,CHI
140,Jeff Grayer,1991-1992,MIL
141,A.C. Green,1991-1992,LAL
142,Rickey Green,1991-1992,BOS
143,Sean Green,1991-1992,IND
144,Sidney Green,1991-1992,SAS
145,Jack Haley,1991-1992,LAL
146,Tom Hammonds,1991-1992,WSB
147,Bob Hansen,1991-1992,SAC
147,Bob Hansen,1991-1992,CHI
148,Tim Hardaway,1991-1992,GSW
149,Derek Harper,1991-1992,DAL
150,Ron Harper,1991-1992,LAC
151,Scott Hastings,1991-1992,DEN
152,Hersey Hawkins,1991-1992,PHI
153,Gerald Henderson,1991-1992,HOU
153,Gerald Henderson,1991-1992,DET
154,Steve Henson,1991-1992,MIL
155,Carl Herrera,1991-1992,HOU
156,Rod Higgins,1991-1992,GSW
157,Sean Higgins,1991-1992,SAS
157,Sean Higgins,1991-1992,ORL
158,Tyrone Hill,1991-1992,GSW
159,Donald Hodge,1991-1992,DAL
160,Craig Hodges,1991-1992,CHI
161,Dave Hoppen,1991-1992,PHI
162,Dennis Hopson,1991-1992,SAC
162,Dennis Hopson,1991-1992,CHI
163,Jeff Hornacek,1991-1992,PHO
164,Brian Howard,1991-1992,DAL
165,Jay Humphries,1991-1992,MIL
166,Cedric Hunter,1991-1992,CHH
167,Mike Iuzzolino,1991-1992,DAL
168,Jaren Jackson,1991-1992,GSW
169,Mark Jackson,1991-1992,NYK
170,Dave Jamerson,1991-1992,HOU
171,Henry James,1991-1992,CLE
172,Les Jepsen,1991-1992,SAC
173,Avery Johnson,1991-1992,SAS
173,Avery Johnson,1991-1992,HOU
174,Buck Johnson,1991-1992,HOU
175,Eddie Johnson,1991-1992,SEA
176,Kevin Johnson,1991-1992,PHO
177,Larry Johnson,1991-1992,CHH
178,Vinnie Johnson,1991-1992,SAS
179,Charles Jones,1991-1992,WSB
180,Michael Jordan*,1991-1992,CHI
181,Shawn Kemp,1991-1992,SEA
182,Steve Kerr,1991-1992,CLE
183,Jerome Kersey,1991-1992,POR
184,Alec Kessler,1991-1992,MIA
185,Bo Kimble,1991-1992,LAC
186,Albert King,1991-1992,WSB
187,Rich King,1991-1992,SEA
188,Stacey King,1991-1992,CHI
189,Greg Kite,1991-1992,ORL
190,Joe Kleine,1991-1992,BOS
191,Negele Knight,1991-1992,PHO
192,Bart Kofoed,1991-1992,SEA
193,Jon Koncak,1991-1992,ATL
194,Larry Krystkowiak,1991-1992,MIL
195,Bill Laimbeer,1991-1992,DET
196,Jerome Lane,1991-1992,MIL
196,Jerome Lane,1991-1992,IND
196,Jerome Lane,1991-1992,DEN
197,Andrew Lang,1991-1992,PHO
198,Eric Leckner,1991-1992,CHH
199,Doug Lee,1991-1992,NJN
200,Gary Leonard,1991-1992,ATL
201,Jim Les,1991-1992,SAC
202,Fat Lever,1991-1992,DAL
203,Cliff Levingston,1991-1992,CHI
204,Reggie Lewis,1991-1992,BOS
205,Marcus Liberty,1991-1992,DEN
206,Todd Lichti,1991-1992,DEN
207,Alton Lister,1991-1992,GSW
208,Brad Lohaus,1991-1992,MIL
209,Grant Long,1991-1992,MIA
210,Luc Longley,1991-1992,MIN
211,Kevin Lynch,1991-1992,CHH
212,Mark Macon,1991-1992,DEN
213,Dan Majerle,1991-1992,PHO
214,Jeff Malone,1991-1992,UTA
215,Karl Malone*,1991-1992,UTA
216,Moses Malone*,1991-1992,MIL
217,Danny Manning,1991-1992,LAC
218,Sarunas Marciulionis*,1991-1992,GSW
219,Anthony Mason,1991-1992,NYK
220,Tony Massenburg,1991-1992,SAS
220,Tony Massenburg,1991-1992,GSW
220,Tony Massenburg,1991-1992,CHH
220,Tony Massenburg,1991-1992,BOS
221,Vernon Maxwell,1991-1992,HOU
222,Tharon Mayes,1991-1992,PHI
222,Tharon Mayes,1991-1992,LAC
223,Travis Mays,1991-1992,ATL
224,Bob McCann,1991-1992,DET
225,George McCloud,1991-1992,IND
226,Tim McCormick,1991-1992,NYK
227,Rodney McCray,1991-1992,DAL
228,Xavier McDaniel,1991-1992,NYK
229,Kevin McHale*,1991-1992,BOS
230,Derrick McKey,1991-1992,SEA
231,Carlton McKinney,1991-1992,NYK
232,Nate McMillan,1991-1992,SEA
233,Reggie Miller*,1991-1992,IND
234,Terry Mills,1991-1992,NJN
235,Sam Mitchell,1991-1992,MIN
236,Rodney Monroe,1991-1992,ATL
237,Tracy Moore,1991-1992,DAL
238,Chris Morris,1991-1992,NJN
239,John Morton,1991-1992,MIA
239,John Morton,1991-1992,CLE
240,Chris Mullin*,1991-1992,GSW
241,Eric Murdock,1991-1992,UTA
242,Tod Murphy,1991-1992,MIN
243,Jerrod Mustaf,1991-1992,PHO
244,Dikembe Mutombo*,1991-1992,DEN
245,Larry Nance,1991-1992,CLE
246,Ed Nealy,1991-1992,PHO
247,Chuck Nevitt,1991-1992,CHI
248,Johnny Newman,1991-1992,CHH
249,Ken Norman,1991-1992,LAC
250,Charles Oakley,1991-1992,NYK
251,Alan Ogg,1991-1992,MIA
252,Hakeem Olajuwon*,1991-1992,HOU
253,Brian Oliver,1991-1992,PHI
254,Jimmy Oliver,1991-1992,CLE
