1,Curly Armstrong,1948-1949,FTW
2,Johnny Bach,1948-1949,BOS
3,Hank Beenders,1948-1949,BOS
4,Gale Bishop,1948-1949,PHW
5,Charlie Black,1948-1949,FTW
5,Charlie Black,1948-1949,INJ
6,Mike Bloom,1948-1949,CHS
6,Mike Bloom,1948-1949,MNL
7,Jake Bornheimer,1948-1949,PHW
8,Carl Braun,1948-1949,NYK
9,Price Brookfield,1948-1949,INJ
10,Bob Brown,1948-1949,PRO
11,Darrell Brown,1948-1949,BLB
12,Jim Browne,1948-1949,CHS
13,Walt Budko,1948-1949,BLB
14,Tommy Byrnes,1948-1949,INJ
14,Tommy Byrnes,1948-1949,NYK
15,Bill Calhoun,1948-1949,ROC
16,Ernie Calverley,1948-1949,PRO
17,Don Carlson,1948-1949,MNL
18,Joe Colone,1948-1949,NYK
19,Dillard Crocker,1948-1949,FTW
20,Chink Crossin,1948-1949,PHW
21,Fran Curran,1948-1949,ROC
22,Howie Dallmar,1948-1949,PHW
23,Bob Davies*,1948-1949,ROC
24,Bob Doll,1948-1949,BOS
25,Andy Duncan,1948-1949,ROC
26,Jack Dwan,1948-1949,MNL
27,Lonnie Eggleston,1948-1949,STB
28,Bulbs Ehlers,1948-1949,BOS
29,Ray Ellefson,1948-1949,MNL
30,Jack Eskridge,1948-1949,CHS
30,Jack Eskridge,1948-1949,INJ
31,Johnny Ezersky,1948-1949,BLB
31,Johnny Ezersky,1948-1949,BOS
31,Johnny Ezersky,1948-1949,PRO
32,Phil Farbman,1948-1949,BOS
32,Phil Farbman,1948-1949,PHW
33,Bob Feerick,1948-1949,WSC
34,Arnie Ferrin,1948-1949,MNL
35,Bob Fitzgerald,1948-1949,ROC
36,Jerry Fleishman,1948-1949,PHW
37,Donnie Forman,1948-1949,MNL
38,Joe Fulks*,1948-1949,PHW
39,Harry Gallatin*,1948-1949,NYK
40,Earl Gardner,1948-1949,MNL
41,Jack Garfinkel,1948-1949,BOS
42,Chuck Gilmur,1948-1949,CHS
43,George Glamack,1948-1949,INJ
44,Joe Graboski,1948-1949,CHS
45,Coulby Gunther,1948-1949,STB
46,Chick Halbert,1948-1949,BOS
46,Chick Halbert,1948-1949,PRO
47,Bruce Hale,1948-1949,FTW
47,Bruce Hale,1948-1949,INJ
48,Ralph Hamilton,1948-1949,FTW
48,Ralph Hamilton,1948-1949,INJ
49,John Hazen,1948-1949,BOS
50,Bill Henry,1948-1949,FTW
51,Kleggie Hermsen,1948-1949,WSC
52,Sonny Hertzberg,1948-1949,WSC
53,Doug Holcomb,1948-1949,BLB
54,Red Holzman*,1948-1949,ROC
55,Bob Hubbard,1948-1949,PRO
56,Gene James,1948-1949,NYK
57,Tony Jaros,1948-1949,MNL
58,Buddy Jeannette*,1948-1949,BLB
59,Arnie Johnson,1948-1949,ROC
60,Johnny Jorgensen,1948-1949,MNL
61,Whitey Kachan,1948-1949,CHS
61,Whitey Kachan,1948-1949,MNL
62,George Kaftan,1948-1949,BOS
63,Leo Katkaveck,1948-1949,WSC
64,Tom Kelly,1948-1949,BOS
65,Bob Kinney,1948-1949,BOS
65,Bob Kinney,1948-1949,FTW
66,Walt Kirk,1948-1949,FTW
66,Walt Kirk,1948-1949,INJ
67,Leo Klier,1948-1949,FTW
68,Lee Knorek,1948-1949,NYK
69,Andy Kostecka,1948-1949,INJ
70,Dan Kraus,1948-1949,BLB
71,Herb Krautblatt,1948-1949,BLB
72,Ray Kuka,1948-1949,NYK
73,Andrew Levane,1948-1949,ROC
74,Freddie Lewis,1948-1949,BLB
74,Freddie Lewis,1948-1949,INJ
75,Grady Lewis,1948-1949,STB
76,John Logan,1948-1949,STB
77,Al Lucas,1948-1949,BOS
78,Ray Lumpp,1948-1949,INJ
78,Ray Lumpp,1948-1949,NYK
79,Jack Maddox,1948-1949,INJ
80,John Mahnken,1948-1949,BLB
80,John Mahnken,1948-1949,FTW
80,John Mahnken,1948-1949,INJ
81,Lionel Malamed,1948-1949,INJ
81,Lionel Malamed,1948-1949,ROC
82,John Mandic,1948-1949,INJ
83,Don Martin,1948-1949,BLB
83,Don Martin,1948-1949,STB
84,Ariel Maughan,1948-1949,STB
85,Mel McGaha,1948-1949,NYK
86,Bones McKinney,1948-1949,WSC
87,Carl Meinhold,1948-1949,CHS
87,Carl Meinhold,1948-1949,PRO
88,Stan Miasek,1948-1949,CHS
89,Ed Mikan,1948-1949,CHS
90,George Mikan*,1948-1949,MNL
91,Bill Miller,1948-1949,CHS
91,Bill Miller,1948-1949,STB
92,Leo Mogus,1948-1949,BLB
92,Leo Mogus,1948-1949,FTW
92,Leo Mogus,1948-1949,INJ
93,Elmore Morgenthaler,1948-1949,PHW
94,Angelo Musi,1948-1949,PHW
95,Fritz Nagy,1948-1949,INJ
96,Paul Napolitano,1948-1949,INJ
97,Jack Nichols,1948-1949,WSC
98,Richie Niemiera,1948-1949,FTW
99,Paul Noel,1948-1949,NYK
100,Johnny Norlander,1948-1949,WSC
101,George Nostrand,1948-1949,BOS
