1,Mahdi Abdul-Rahman,1965-1966,LAL
2,Jay Arnette,1965-1966,CIN
3,Al Attles,1965-1966,SFW
4,Jim Barnes,1965-1966,NYK
4,Jim Barnes,1965-1966,BAL
5,Dick Barnett,1965-1966,NYK
6,John Barnhill,1965-1966,STL
6,John Barnhill,1965-1966,DET
7,Rick Barry*,1965-1966,SFW
8,Elgin Baylor*,1965-1966,LAL
9,Zelmo Beaty,1965-1966,STL
10,Walt Bellamy*,1965-1966,NYK
10,Walt Bellamy*,1965-1966,BAL
11,Al Bianchi,1965-1966,PHI
12,Ron Bonham,1965-1966,BOS
13,Bob Boozer,1965-1966,LAL
14,Gary Bradds,1965-1966,BAL
15,Jesse Branson,1965-1966,PHI
16,Bill Bridges,1965-1966,STL
17,Em Bryant,1965-1966,NYK
18,Bill Buntin,1965-1966,DET
19,Donnie Butcher,1965-1966,DET
20,Joe Caldwell,1965-1966,STL
20,Joe Caldwell,1965-1966,DET
21,Wilt Chamberlain*,1965-1966,PHI
22,Len Chappell,1965-1966,NYK
23,Barry Clemens,1965-1966,NYK
24,Mel Counts,1965-1966,BOS
25,Billy Cunningham*,1965-1966,PHI
26,Dave DeBusschere*,1965-1966,DET
27,Connie Dierking,1965-1966,CIN
28,Johnny Egan,1965-1966,NYK
28,Johnny Egan,1965-1966,BAL
29,Leroy Ellis,1965-1966,LAL
30,Wayne Embry*,1965-1966,CIN
31,Keith Erickson,1965-1966,SFW
32,John Fairchild,1965-1966,LAL
33,Mike Farmer,1965-1966,STL
34,Bob Ferry,1965-1966,BAL
35,Will Frazier,1965-1966,SFW
36,Dave Gambee,1965-1966,PHI
37,Tom Gola*,1965-1966,NYK
38,Gail Goodrich*,1965-1966,LAL
39,Johnny Green,1965-1966,NYK
39,Johnny Green,1965-1966,BAL
40,Si Green,1965-1966,BOS
41,Hal Greer*,1965-1966,PHI
42,Richie Guerin*,1965-1966,STL
43,Cliff Hagan*,1965-1966,STL
44,Happy Hairston,1965-1966,CIN
45,John Havlicek*,1965-1966,BOS
46,Tom Hawkins,1965-1966,CIN
47,Fred Hetzel,1965-1966,SFW
48,Art Heyman,1965-1966,PHI
48,Art Heyman,1965-1966,CIN
49,Wayne Hightower,1965-1966,BAL
50,Bailey Howell*,1965-1966,BAL
51,Darrall Imhoff,1965-1966,LAL
52,Luke Jackson,1965-1966,PHI
53,Gus Johnson*,1965-1966,BAL
54,K.C. Jones*,1965-1966,BOS
55,Sam Jones*,1965-1966,BOS
56,Wali Jones,1965-1966,PHI
57,Red Kerr,1965-1966,BAL
58,Jim King,1965-1966,LAL
59,Don Kojis,1965-1966,DET
60,Howard Komives,1965-1966,NYK
61,Rudy LaRusso,1965-1966,LAL
62,Kevin Loughery,1965-1966,BAL
63,Jerry Lucas*,1965-1966,CIN
64,Jon McGlocklin,1965-1966,CIN
65,McCoy McLemore,1965-1966,SFW
66,Thales McReynolds,1965-1966,BAL
67,Tom Meschery,1965-1966,SFW
68,Eddie Miles,1965-1966,DET
69,Jeff Mullins,1965-1966,STL
70,Willie Naulls,1965-1966,BOS
71,Don Nelson*,1965-1966,BOS
72,Paul Neumann,1965-1966,SFW
73,Don Ohl,1965-1966,BAL
74,Bud Olsen,1965-1966,SFW
74,Bud Olsen,1965-1966,CIN
75,Gary Phillips,1965-1966,SFW
76,Ron Reed,1965-1966,DET
77,Willis Reed*,1965-1966,NYK
78,Oscar Robertson*,1965-1966,CIN
79,Guy Rodgers*,1965-1966,SFW
80,Bill Russell*,1965-1966,BOS
81,Tom Sanders*,1965-1966,BOS
82,Woody Sauldsberry,1965-1966,BOS
83,Ray Scott,1965-1966,DET
84,Larry Siegfried,1965-1966,BOS
85,Paul Silas,1965-1966,STL
86,Jerry Sloan*,1965-1966,BAL
87,Adrian Smith,1965-1966,CIN
88,Willie Somerset,1965-1966,BAL
89,Dave Stallworth,1965-1966,NYK
90,Joe Strawder,1965-1966,DET
91,Tom Thacker,1965-1966,CIN
92,John Thompson*,1965-1966,BOS
93,Rod Thorn,1965-1966,STL
93,Rod Thorn,1965-1966,DET
94,Nate Thurmond*,1965-1966,SFW
95,Gene Tormohlen,1965-1966,STL
96,John Tresvant,1965-1966,STL
96,John Tresvant,1965-1966,DET
97,Jack Twyman*,1965-1966,CIN
98,Dick Van Arsdale,1965-1966,NYK
99,Tom Van Arsdale,1965-1966,DET
100,Chico Vaughn,1965-1966,STL
100,Chico Vaughn,1965-1966,DET
101,Chet Walker*,1965-1966,PHI
102,Gerry Ward,1965-1966,PHI
103,Ben Warley,1965-1966,PHI
103,Ben Warley,1965-1966,BAL
104,Bob Warlick,1965-1966,DET
105,Jim Washington,1965-1966,STL
106,Ron Watts,1965-1966,BOS
107,Bob Weiss,1965-1966,PHI
108,Jerry West*,1965-1966,LAL
109,Gene Wiley,1965-1966,LAL
110,Lenny Wilkens*,1965-1966,STL
111,George Wilson,1965-1966,CIN
