Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Paul Arizin*,SF,22,PHW,65,,,.512,,.609,,,,,,,,,,9.2,4.5,13.7,,,,,,
2,Curly Armstrong,G-F,32,FTW,38,,,.372,,.388,,,,,,,,,,-0.3,0.9,0.6,,,,,,
3,Cliff Barker,SG,30,INO,56,,,.322,,.381,,,,,,,,,,-0.9,0.7,-0.2,,,,,,
4,Leo Barnhorst,SF,26,INO,68,,,.377,,.177,,,,,,,,,,-0.7,1.9,1.3,,,,,,
5,Ed Bartels,F,25,WSC,17,,,.307,,.474,,,,,,,,,,-0.8,0.2,-0.5,,,,,,
6,Ed Beach,F,22,TOT,12,,,.262,,.237,,,,,,,,,,-0.4,0.2,-0.3,,,,,,
6,Ed Beach,F,22,MNL,11,,,.282,,.257,,,,,,,,,,-0.4,0.2,-0.2,,,,,,
6,Ed Beach,F,22,TRI,1,,,.000,,.000,,,,,,,,,,-0.1,0.0,-0.1,,,,,,
7,Ralph Beard,G,23,INO,66,,,.435,,.341,,,,,,,,,,4.1,2.3,6.5,,,,,,
8,Leon Blevins,G,24,INO,2,,,.225,,.250,,,,,,,,,,-0.1,0.0,0.0,,,,,,
9,Nelson Bobb,PG,26,PHW,53,,,.384,,.500,,,,,,,,,,0.0,1.0,1.1,,,,,,
10,Ike Borsavage,C-F,26,PHW,24,,,.391,,.243,,,,,,,,,,-0.1,0.2,0.1,,,,,,
11,Vince Boryla,SF,23,NYK,66,,,.485,,.383,,,,,,,,,,6.4,1.0,7.4,,,,,,
12,Harry Boykoff,C,28,TOT,48,,,.429,,.298,,,,,,,,,,0.8,0.8,1.7,,,,,,
12,Harry Boykoff,C,28,BOS,32,,,.436,,.310,,,,,,,,,,0.6,0.4,1.0,,,,,,
12,Harry Boykoff,C,28,TRI,16,,,.419,,.278,,,,,,,,,,0.2,0.5,0.7,,,,,,
13,Frankie Brian,G,27,TRI,68,,,.424,,.451,,,,,,,,,,2.9,2.7,5.6,,,,,,
14,Walt Budko,PF,25,BLB,64,,,.441,,.481,,,,,,,,,,2.1,1.9,4.0,,,,,,
15,Art Burris,SF,26,FTW,33,,,.299,,.319,,,,,,,,,,-0.9,0.6,-0.3,,,,,,
16,Tommy Byrnes,F-G,27,TOT,47,,,.357,,.315,,,,,,,,,,-0.8,0.6,-0.2,,,,,,
16,Tommy Byrnes,F-G,27,BLB,16,,,.401,,.280,,,,,,,,,,0.0,0.2,0.2,,,,,,
16,Tommy Byrnes,F-G,27,WSC,12,,,.260,,.415,,,,,,,,,,-0.7,0.1,-0.6,,,,,,
16,Tommy Byrnes,F-G,27,TRI,19,,,.379,,.284,,,,,,,,,,-0.1,0.3,0.2,,,,,,
17,Gerry Calabrese,SG,25,SYR,46,,,.426,,.447,,,,,,,,,,0.6,0.4,1.0,,,,,,
18,Bill Calhoun,SG,23,ROC,66,,,.421,,.451,,,,,,,,,,1.2,1.0,2.2,,,,,,
19,Don Carlson,G-F,31,BLB,9,,,.396,,.348,,,,,,,,,,0.0,0.1,0.2,,,,,,
20,Bob Carpenter,F-C,33,TOT,56,,,.413,,.382,,,,,,,,,,0.5,1.3,1.9,,,,,,
20,Bob Carpenter,F-C,33,FTW,21,,,.338,,.468,,,,,,,,,,-0.6,0.4,-0.2,,,,,,
20,Bob Carpenter,F-C,33,TRI,35,,,.459,,.332,,,,,,,,,,1.2,0.9,2.1,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Al Cervi*,PG,33,SYR,53,,,.509,,.685,,,,,,,,,,4.2,1.1,5.3,,,,,,
22,Leroy Chollet,F,25,SYR,14,,,.202,,.373,,,,,,,,,,-0.8,0.1,-0.7,,,,,,
23,Cal Christensen,SF,23,TRI,67,,,.401,,.551,,,,,,,,,,0.5,2.7,3.2,,,,,,
24,Nathaniel Clifton*,PF,28,NYK,65,,,.364,,.401,,,,,,,,,,-1.7,1.2,-0.4,,,,,,
25,Bill Closs,SF,29,PHW,65,,,.391,,.353,,,,,,,,,,-0.3,3.1,2.8,,,,,,
26,Jack Coleman,PF,26,ROC,67,,,.463,,.230,,,,,,,,,,4.3,2.2,6.5,,,,,,
27,Chuck Cooper*,F,24,BOS,66,,,.428,,.444,,,,,,,,,,1.9,1.4,3.3,,,,,,
28,Ray Corley,G,23,TOT,34,,,.346,,.362,,,,,,,,,,-0.5,0.5,0.0,,,,,,
28,Ray Corley,G,23,BLB,16,,,.306,,.388,,,,,,,,,,-0.5,0.2,-0.3,,,,,,
28,Ray Corley,G,23,TRI,18,,,.378,,.341,,,,,,,,,,0.0,0.3,0.3,,,,,,
29,Bob Cousy*,PG,22,BOS,69,,,.415,,.321,,,,,,,,,,2.2,1.8,3.9,,,,,,
30,Bob Davies*,PG,31,ROC,63,,,.457,,.434,,,,,,,,,,5.3,1.6,6.9,,,,,,
31,Hank DeZonie,C-F,28,TRI,5,,,.303,,.280,,,,,,,,,,-0.2,0.1,-0.1,,,,,,
32,Joe Dolhon,G,23,BLB,13,,,.386,,.411,,,,,,,,,,0.0,0.1,0.1,,,,,,
33,Bob Donham,SG,24,BOS,68,,,.522,,.768,,,,,,,,,,3.8,0.7,4.5,,,,,,
34,Andy Duncan,F-C,28,BOS,14,,,.292,,.550,,,,,,,,,,-0.4,0.1,-0.3,,,,,,
35,Dike Eddleman,SF,28,TRI,68,,,.408,,.312,,,,,,,,,,0.9,2.9,3.8,,,,,,
36,Ray Ellefson,C,28,NYK,3,,,.347,,1.000,,,,,,,,,,0.0,0.0,0.0,,,,,,
37,Arnie Ferrin,F-G,25,MNL,68,,,.395,,.440,,,,,,,,,,0.2,2.2,2.4,,,,,,
38,Larry Foust,C,22,FTW,68,,,.409,,.419,,,,,,,,,,0.9,3.6,4.5,,,,,,
39,Joe Fulks*,PF,29,PHW,66,,,.398,,.325,,,,,,,,,,-0.2,4.5,4.3,,,,,,
40,Bill Gabor,SG,28,SYR,61,,,.405,,.325,,,,,,,,,,0.4,1.1,1.5,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
41,Harry Gallatin*,F-C,23,NYK,66,,,.491,,.502,,,,,,,,,,5.9,1.7,7.6,,,,,,
42,Vern Gardner,SG,25,PHW,61,,,.384,,.253,,,,,,,,,,-0.3,1.9,1.6,,,,,,
43,Ed Gayda,G-F,23,TRI,15,,,.495,,.522,,,,,,,,,,0.4,0.2,0.6,,,,,,
44,Chuck Gilmur,F-C,28,WSC,16,,,.340,,.525,,,,,,,,,,-0.3,0.2,-0.1,,,,,,
45,Bud Grant,F,23,MNL,61,,,.358,,.451,,,,,,,,,,-0.5,1.1,0.6,,,,,,
46,Alex Groza,C,24,INO,66,,,.552,,.541,,,,,,,,,,14.7,3.3,18.0,,,,,,
47,Chick Halbert,C,31,TOT,68,,,.448,,.552,,,,,,,,,,,,,,,,,,
48,Bruce Hale,G-F,32,INO,26,,,.324,,.170,,,,,,,,,,-0.7,0.3,-0.4,,,,,,
49,Alex Hannum*,PF,27,SYR,63,,,.406,,.399,,,,,,,,,,0.4,1.3,1.7,,,,,,
50,John Hargis,G-F,30,TOT,29,,,.423,,.331,,,,,,,,,,0.3,0.4,0.7,,,,,,
50,John Hargis,G-F,30,FTW,14,,,.438,,.364,,,,,,,,,,0.2,0.2,0.4,,,,,,
50,John Hargis,G-F,30,TRI,15,,,.406,,.295,,,,,,,,,,0.1,0.2,0.3,,,,,,
51,Bob Harris,F-C,23,TOT,56,,,.402,,.431,,,,,,,,,,0.2,0.8,1.0,,,,,,
51,Bob Harris,F-C,23,FTW,12,,,.312,,.351,,,,,,,,,,-0.4,0.2,-0.2,,,,,,
51,Bob Harris,F-C,23,BOS,44,,,.423,,.450,,,,,,,,,,0.6,0.6,1.2,,,,,,
52,Bob Harrison,G,23,MNL,68,,,.411,,.296,,,,,,,,,,1.0,2.3,3.3,,,,,,
53,Billy Hassett,G,29,BLB,31,,,.354,,.394,,,,,,,,,,-0.5,0.3,-0.2,,,,,,
54,Kleggie Hermsen,C-F,27,TOT,71,,,.356,,.368,,,,,,,,,,,,,,,,,,
55,Sonny Hertzberg,G,28,BOS,65,,,.412,,.415,,,,,,,,,,1.4,1.1,2.5,,,,,,
56,Paul Hoffman,G-F,25,BLB,41,,,.384,,.391,,,,,,,,,,-0.2,1.1,0.8,,,,,,
57,Joe Holland,SF,25,INO,67,,,.359,,.231,,,,,,,,,,-1.6,1.8,0.2,,,,,,
58,Red Holzman*,PG,30,ROC,68,,,.388,,.319,,,,,,,,,,-0.2,1.0,0.8,,,,,,
59,Joe Hutton,SG,22,MNL,60,,,.369,,.239,,,,,,,,,,-0.3,1.0,0.6,,,,,,
60,Gene James,F,25,TOT,48,,,.379,,.302,,,,,,,,,,-0.2,0.7,0.5,,,,,,
60,Gene James,F,25,NYK,6,,,.387,,.667,,,,,,,,,,0.0,0.0,0.0,,,,,,
60,Gene James,F,25,BLB,42,,,.379,,.297,,,,,,,,,,-0.2,0.7,0.5,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Tony Jaros,F-G,30,MNL,63,,,.363,,.359,,,,,,,,,,-0.8,1.3,0.6,,,,,,
62,Arnie Johnson,SF,30,ROC,68,,,.564,,.921,,,,,,,,,,7.5,1.7,9.1,,,,,,
63,Ralph Johnson,PG,29,FTW,68,,,.361,,.220,,,,,,,,,,-1.7,2.5,0.8,,,,,,
64,Wah Wah Jones,PF,24,INO,22,,,.456,,.325,,,,,,,,,,1.4,0.8,2.1,,,,,,
65,Noble Jorgensen,C,25,TOT,63,,,.438,,.442,,,,,,,,,,2.0,1.6,3.6,,,,,,
65,Noble Jorgensen,C,25,TRI,22,,,.435,,.429,,,,,,,,,,0.7,0.7,1.4,,,,,,
65,Noble Jorgensen,C,25,SYR,41,,,.440,,.450,,,,,,,,,,1.3,0.9,2.2,,,,,,
66,George Kaftan,SF,22,NYK,61,,,.440,,.437,,,,,,,,,,1.1,0.4,1.6,,,,,,
67,Jack Kerris,PF,26,FTW,68,,,.434,,.428,,,,,,,,,,2.6,3.1,5.7,,,,,,
68,Duane Klueh,G,25,FTW,61,,,.417,,.402,,,,,,,,,,0.9,1.4,2.3,,,,,,
69,Frank Kudelka,G-F,25,TOT,62,,,.387,,.230,,,,,,,,,,,,,,,,,,
70,Tony Lavelli,F,24,NYK,30,,,.446,,.441,,,,,,,,,,0.4,0.2,0.6,,,,,,
71,Bob Lavoy,PF,24,INO,63,,,.388,,.215,,,,,,,,,,-0.6,1.6,1.0,,,,,,
72,Ed Leede,F-G,23,BOS,57,,,.417,,.511,,,,,,,,,,0.8,0.5,1.3,,,,,,
73,Ron Livingstone,C,25,PHW,63,,,.354,,.309,,,,,,,,,,-1.2,2.1,0.9,,,,,,
74,Earl Lloyd*,SF,22,WSC,7,,,.528,,.371,,,,,,,,,,0.4,0.1,0.6,,,,,,
75,Don Lofgran,F-C,22,TOT,61,,,.364,,.470,,,,,,,,,,,,,,,,,,
76,John Logan,G,30,TRI,30,,,.378,,.312,,,,,,,,,,-0.1,1.1,1.0,,,,,,
77,Ray Lumpp,G,27,NYK,64,,,.478,,.422,,,,,,,,,,2.8,0.5,3.3,,,,,,
78,Ed Macauley*,C-F,22,BOS,68,,,.551,,.623,,,,,,,,,,14.1,1.8,15.9,,,,,,
79,Johnny Macknowski,G-F,28,SYR,58,,,.377,,.391,,,,,,,,,,-0.8,0.7,-0.1,,,,,,
80,Norm Mager,F,24,BLB,24,,,.372,,.394,,,,,,,,,,-0.3,0.3,0.0,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
81,John Mahnken,C,28,TOT,58,,,.350,,.199,,,,,,,,,,-1.3,0.7,-0.6,,,,,,
81,John Mahnken,C,28,BOS,46,,,.371,,.181,,,,,,,,,,-0.6,0.5,0.0,,,,,,
81,John Mahnken,C,28,INO,12,,,.233,,.302,,,,,,,,,,-0.7,0.2,-0.5,,,,,,
82,Slater Martin*,PG,25,MNL,68,,,.408,,.282,,,,,,,,,,1.1,3.1,4.2,,,,,,
83,Ariel Maughan,F,27,WSC,35,,,.418,,.492,,,,,,,,,,0.5,0.5,1.1,,,,,,
84,Dick McGuire*,PG,25,NYK,64,,,.445,,.573,,,,,,,,,,3.3,1.2,4.5,,,,,,
85,Bones McKinney,SF,32,TOT,44,,,.361,,.248,,,,,,,,,,-0.8,0.6,-0.2,,,,,,
85,Bones McKinney,SF,32,WSC,10,,,.293,,.163,,,,,,,,,,-0.4,0.1,-0.3,,,,,,
85,Bones McKinney,SF,32,BOS,34,,,.371,,.261,,,,,,,,,,-0.5,0.5,0.0,,,,,,
86,Mal McMullen,F-C,23,INO,51,,,.326,,.296,,,,,,,,,,-1.7,0.7,-1.0,,,,,,
87,Joe McNamee,SF,24,ROC,60,,,.332,,.251,,,,,,,,,,-0.9,0.4,-0.5,,,,,,
88,Dick Mehen,PF,28,TOT,66,,,.404,,.231,,,,,,,,,,0.5,1.5,1.9,,,,,,
88,Dick Mehen,PF,28,BLB,16,,,.392,,.300,,,,,,,,,,0.0,0.5,0.5,,,,,,
88,Dick Mehen,PF,28,BOS,7,,,.375,,.288,,,,,,,,,,-0.1,0.1,0.0,,,,,,
88,Dick Mehen,PF,28,FTW,43,,,.416,,.184,,,,,,,,,,0.5,0.9,1.4,,,,,,
89,Ed Mikan,C-F,25,TOT,61,,,.409,,.340,,,,,,,,,,,,,,,,,,
90,George Mikan*,C,26,MNL,68,,,.509,,.453,,,,,,,,,,16.0,7.4,23.4,,,,,,
91,Vern Mikkelsen*,PF,22,MNL,64,,,.446,,.308,,,,,,,,,,3.9,5.0,8.9,,,,,,
92,Leo Mogus,F-C,29,PHW,57,,,.435,,.705,,,,,,,,,,0.5,0.7,1.2,,,,,,
93,Chuck Mrazovich,F,26,INO,25,,,.420,,.600,,,,,,,,,,0.2,0.2,0.4,,,,,,
94,Ken Murray,G-F,22,TOT,66,,,.411,,.374,,,,,,,,,,,,,,,,,,
95,Jack Nichols,PF,24,TRI,6,,,.397,,.266,,,,,,,,,,0.0,0.3,0.3,,,,,,
96,Paul Noel,F,26,ROC,52,,,.335,,.259,,,,,,,,,,-0.8,0.4,-0.5,,,,,,
97,Johnny Norlander,F,29,WSC,9,,,.474,,.875,,,,,,,,,,0.1,0.0,0.2,,,,,,
98,Dick O'Keefe,G-F,27,WSC,17,,,.281,,.382,,,,,,,,,,-1.0,0.2,-0.8,,,,,,
99,Tommy O'Keefe,G,24,TOT,6,,,.386,,.143,,,,,,,,,,0.0,0.1,0.1,,,,,,
99,Tommy O'Keefe,G,24,WSC,3,,,.419,,.231,,,,,,,,,,0.0,0.0,0.0,,,,,,
99,Tommy O'Keefe,G,24,BLB,3,,,.356,,.067,,,,,,,,,,0.0,0.0,0.0,,,,,,
100,Kevin O'Shea,G,25,MNL,63,,,.416,,.502,,,,,,,,,,0.7,1.4,2.1,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,John Oldham,G,27,FTW,68,,,.392,,.489,,,,,,,,,,0.0,2.0,2.0,,,,,,
102,Don Otten,C,29,TOT,67,,,.464,,.643,,,,,,,,,,3.1,1.8,4.9,,,,,,
102,Don Otten,C,29,WSC,16,,,.441,,.732,,,,,,,,,,0.6,0.3,0.9,,,,,,
102,Don Otten,C,29,BLB,2,,,.290,,.600,,,,,,,,,,-0.1,0.0,-0.1,,,,,,
102,Don Otten,C,29,FTW,49,,,.481,,.611,,,,,,,,,,2.6,1.5,4.1,,,,,,
103,Easy Parham,F-G,29,PHW,7,,,.347,,1.000,,,,,,,,,,0.0,0.1,0.0,,,,,,
104,Warren Perkins,G-F,26,TRI,66,,,.385,,.456,,,,,,,,,,-0.1,1.9,1.8,,,,,,
105,Ed Peterson,C,26,TOT,53,,,.399,,.391,,,,,,,,,,0.1,1.4,1.5,,,,,,
105,Ed Peterson,C,26,SYR,17,,,.419,,.407,,,,,,,,,,0.1,0.2,0.3,,,,,,
105,Ed Peterson,C,26,TRI,36,,,.394,,.386,,,,,,,,,,-0.1,1.3,1.2,,,,,,
106,Andy Phillip*,G-F,28,PHW,66,,,.462,,.367,,,,,,,,,,4.9,4.8,9.7,,,,,,
107,Jim Pollard*,SF,28,MNL,54,,,.395,,.214,,,,,,,,,,0.1,4.1,4.2,,,,,,
108,George Ratkovicz,PF,28,SYR,66,,,.512,,.690,,,,,,,,,,7.1,2.2,9.3,,,,,,
109,Don Rehfeldt,SF,24,BLB,59,,,.442,,.326,,,,,,,,,,1.6,1.1,2.7,,,,,,
110,Jim Riffey,F,27,FTW,35,,,.382,,.141,,,,,,,,,,-0.3,0.5,0.2,,,,,,
111,Arnie Risen*,C,26,ROC,66,,,.475,,.468,,,,,,,,,,6.6,2.8,9.3,,,,,,
112,Tex Ritter,G-F,26,NYK,34,,,.473,,.689,,,,,,,,,,0.8,0.2,1.0,,,,,,
113,Red Rocha,C,27,BLB,64,,,.429,,.355,,,,,,,,,,2.4,2.3,4.6,,,,,,
114,Kenny Sailors,G,29,TOT,60,,,.403,,.338,,,,,,,,,,0.5,1.0,1.6,,,,,,
114,Kenny Sailors,G,29,BOS,10,,,.281,,.640,,,,,,,,,,-0.2,0.0,-0.2,,,,,,
114,Kenny Sailors,G,29,BLB,50,,,.409,,.323,,,,,,,,,,0.8,1.0,1.8,,,,,,
115,Pep Saul,SG,26,ROC,65,,,.396,,.339,,,,,,,,,,0.1,0.5,0.6,,,,,,
116,Alan Sawyer,F,23,WSC,33,,,.422,,.213,,,,,,,,,,0.4,0.4,0.9,,,,,,
117,Fred Schaus,F,25,FTW,68,,,.454,,.527,,,,,,,,,,5.1,3.4,8.5,,,,,,
118,Dolph Schayes*,F-C,22,SYR,66,,,.468,,.654,,,,,,,,,,6.5,3.8,10.3,,,,,,
119,Herb Scherer,C,22,TRI,20,,,.342,,.417,,,,,,,,,,-0.4,0.3,-0.1,,,,,,
120,Dick Schnittker,SF,22,WSC,29,,,.543,,.679,,,,,,,,,,3.0,0.5,3.5,,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
121,Fred Scolari,G,28,TOT,66,,,.413,,.359,,,,,,,,,,,,,,,,,,
122,George Senesky,PG,28,PHW,65,,,.420,,.339,,,,,,,,,,2.3,3.9,6.2,,,,,,
123,Paul Seymour,G-F,23,SYR,51,,,.403,,.413,,,,,,,,,,0.7,1.2,1.8,,,,,,
