Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Gary Alcorn,C,23,DET,58,670,7.6,.330,,.269,,,,,,,,,,-1.9,0.6,-1.3,-0.090,,,,,
2,Bob Anderegg,SF,22,NYK,33,373,9.3,.412,,.294,,,,,,,,,,-0.1,0.1,0.0,.002,,,,,
3,Paul Arizin*,SF,31,PHW,72,2618,17.2,.492,,.376,,,,,,,,,,5.5,3.7,9.2,.168,,,,,
4,Dick Barnett,SG,23,SYR,57,1235,15.1,.452,,.257,,,,,,,,,,1.1,1.1,2.2,.084,,,,,
5,Elgin Baylor*,SF,25,MNL,70,2873,25.2,.489,,.432,,,,,,,,,,7.4,4.1,11.5,.192,,,,,
6,Ernie Beck,SG,28,PHW,66,809,8.2,.414,,.109,,,,,,,,,,-0.2,1.0,0.9,.051,,,,,
7,Whitey Bell,PG,27,NYK,31,449,10.3,.412,,.232,,,,,,,,,,-0.1,0.2,0.1,.008,,,,,
8,Al Bianchi,PG,27,SYR,69,1256,9.6,.412,,.269,,,,,,,,,,-0.4,1.1,0.8,.030,,,,,
9,Bucky Bockhorn,SG,26,CIN,75,2103,11.3,.441,,.239,,,,,,,,,,0.9,0.5,1.3,.031,,,,,
10,Carl Braun,PG,32,NYK,54,1514,15.0,.481,,.234,,,,,,,,,,2.3,0.6,3.0,.095,,,,,
11,Barney Cable,SF,24,TOT,57,715,10.5,.410,,.231,,,,,,,,,,-0.3,0.7,0.4,.026,,,,,
11,Barney Cable,F,24,DET,7,116,11.2,.373,,.167,,,,,,,,,,-0.2,0.1,-0.1,-0.034,,,,,
11,Barney Cable,SF,24,SYR,50,599,10.4,.419,,.248,,,,,,,,,,-0.1,0.6,0.5,.038,,,,,
12,Wilt Chamberlain*,C,23,PHW,72,3338,28.0,.493,,.429,,,,,,,,,,9.0,8.0,17.0,.245,,,,,
13,Gene Conley,PF,29,BOS,71,1330,10.1,.406,,.212,,,,,,,,,,-0.8,2.8,2.1,.074,,,,,
14,Ed Conlin,SG,26,DET,70,1636,12.4,.417,,.286,,,,,,,,,,-0.5,1.2,0.7,.022,,,,,
15,Larry Costello,PG,28,SYR,71,2469,15.6,.523,,.352,,,,,,,,,,5.4,2.6,8.0,.156,,,,,
16,Bob Cousy*,PG,31,BOS,75,2588,18.7,.439,,.272,,,,,,,,,,1.9,5.9,7.8,.145,,,,,
17,Archie Dees,PF,23,DET,73,1244,17.2,.500,,.331,,,,,,,,,,2.7,1.0,3.7,.144,,,,,
18,Connie Dierking,C,23,SYR,71,1119,12.3,.404,,.357,,,,,,,,,,-0.8,1.3,0.5,.022,,,,,
19,Walter Dukes,C,29,DET,66,2140,15.5,.459,,.583,,,,,,,,,,1.8,2.1,3.9,.087,,,,,
20,Boo Ellis,PF,23,MNL,46,671,10.5,.410,,.411,,,,,,,,,,-0.2,0.8,0.6,.041,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Wayne Embry*,C,22,CIN,73,1594,16.1,.464,,.471,,,,,,,,,,1.6,0.5,2.0,.061,,,,,
22,Mike Farmer,SF,23,NYK,67,1536,8.8,.409,,.146,,,,,,,,,,-0.7,0.6,-0.1,-0.002,,,,,
23,Ray Felix,C,29,TOT,47,882,11.3,.423,,.315,,,,,,,,,,-0.1,0.9,0.8,.045,,,,,
23,Ray Felix,C,29,NYK,16,186,8.9,.373,,.351,,,,,,,,,,-0.3,0.1,-0.2,-0.060,,,,,
23,Ray Felix,C,29,MNL,31,696,12.0,.441,,.303,,,,,,,,,,0.2,0.9,1.1,.073,,,,,
24,Al Ferrari,SG,26,STL,71,1567,11.2,.489,,.430,,,,,,,,,,2.3,1.0,3.3,.100,,,,,
25,Bob Ferry,C,22,STL,62,875,11.5,.466,,.352,,,,,,,,,,0.8,0.7,1.4,.078,,,,,
26,Ed Fleming,SG,26,MNL,27,413,14.5,.499,,.489,,,,,,,,,,0.7,0.4,1.2,.136,,,,,
27,Larry Foust,C-F,31,TOT,72,1964,,.484,,.418,,,,,,,,,,,,,,,,,,
28,Dave Gambee,F,22,TOT,61,656,,.449,,.364,,,,,,,,,,,,,,,,,,
29,Dick Garmaker,SG,27,TOT,70,1932,13.0,.456,,.323,,,,,,,,,,1.6,1.5,3.1,.076,,,,,
29,Dick Garmaker,G-F,27,MNL,44,1187,12.3,.430,,.310,,,,,,,,,,0.2,1.2,1.4,.057,,,,,
29,Dick Garmaker,SG,27,NYK,26,745,14.2,.503,,.345,,,,,,,,,,1.4,0.3,1.7,.107,,,,,
30,Jack George,PG,31,NYK,69,1604,12.0,.443,,.311,,,,,,,,,,0.9,0.6,1.5,.046,,,,,
31,Tom Gola*,SG,27,PHW,75,2870,15.4,.495,,.346,,,,,,,,,,4.5,5.4,9.9,.166,,,,,
32,Joe Graboski,PF,30,PHW,73,1269,12.9,.428,,.298,,,,,,,,,,0.1,2.1,2.2,.082,,,,,
33,Johnny Green,PF,26,NYK,69,1232,13.1,.449,,.331,,,,,,,,,,0.5,0.7,1.2,.047,,,,,
34,Si Green,PG,26,STL,70,1354,9.5,.426,,.410,,,,,,,,,,0.1,1.0,1.0,.037,,,,,
35,Hal Greer*,SG,23,SYR,70,1979,14.1,.514,,.232,,,,,,,,,,4.2,1.6,5.8,.141,,,,,
36,Gene Guarilia,SF,22,BOS,48,423,7.7,.421,,.266,,,,,,,,,,-0.1,0.6,0.5,.059,,,,,
37,Richie Guerin*,SG,27,NYK,74,2429,21.4,.493,,.429,,,,,,,,,,6.1,1.3,7.4,.146,,,,,
38,Cliff Hagan*,SF,28,STL,75,2798,22.0,.522,,.338,,,,,,,,,,9.3,2.5,11.8,.203,,,,,
39,Steve Hamilton,SF,24,MNL,15,247,8.2,.436,,.299,,,,,,,,,,0.0,0.2,0.3,.049,,,,,
40,Vern Hatton,SG,24,PHW,67,1049,7.7,.389,,.244,,,,,,,,,,-0.7,1.3,0.5,.025,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
41,Tom Hawkins,SF,23,MNL,69,1467,10.7,.419,,.283,,,,,,,,,,-0.4,1.5,1.2,.038,,,,,
42,Tom Heinsohn*,PF,25,BOS,75,2420,18.4,.463,,.243,,,,,,,,,,3.0,4.7,7.7,.154,,,,,
43,Bob Hopkins,PF,25,SYR,75,1616,11.1,.441,,.264,,,,,,,,,,0.4,1.5,1.9,.057,,,,,
44,Bailey Howell*,PF,23,DET,75,2346,18.1,.510,,.377,,,,,,,,,,5.7,1.9,7.6,.156,,,,,
45,Hot Rod Hundley,SG,25,MNL,73,2279,12.9,.410,,.268,,,,,,,,,,-0.7,2.7,1.9,.041,,,,,
46,Andy Johnson,SF,27,PHW,75,1421,10.8,.416,,.321,,,,,,,,,,-0.4,2.1,1.8,.060,,,,,
47,K.C. Jones*,PG,27,BOS,74,1274,12.6,.477,,.411,,,,,,,,,,1.5,2.2,3.7,.139,,,,,
48,Sam Jones*,SF,26,BOS,74,1512,17.7,.500,,.281,,,,,,,,,,3.2,2.6,5.9,.186,,,,,
49,Phil Jordon,C,26,CIN,75,2066,15.3,.449,,.348,,,,,,,,,,1.4,0.6,1.9,.045,,,,,
50,Billy Kenville,SG,29,DET,25,365,11.9,.426,,.313,,,,,,,,,,0.0,0.3,0.4,.047,,,,,
51,Red Kerr,C,27,SYR,75,2372,15.7,.443,,.279,,,,,,,,,,1.0,2.8,3.8,.078,,,,,
52,Maury King,PG,24,BOS,1,19,17.3,.592,,.125,,,,,,,,,,0.1,0.0,0.1,.264,,,,,
53,Jim Krebs,C,24,MNL,75,1269,11.0,.430,,.225,,,,,,,,,,0.0,1.2,1.2,.045,,,,,
54,Rudy LaRusso,PF,22,MNL,71,2092,14.9,.456,,.391,,,,,,,,,,1.6,2.3,3.9,.091,,,,,
55,Slick Leonard*,PG,27,MNL,73,2074,8.0,.373,,.269,,,,,,,,,,-2.2,2.0,-0.1,-0.003,,,,,
56,Earl Lloyd*,SF,31,DET,68,1610,8.7,.409,,.241,,,,,,,,,,-0.7,1.1,0.4,.011,,,,,
57,Jim Loscutoff,SF,29,BOS,28,536,3.1,.349,,.176,,,,,,,,,,-0.9,0.7,-0.2,-0.022,,,,,
58,Clyde Lovellette*,C,30,STL,68,1953,23.3,.527,,.328,,,,,,,,,,7.1,1.9,9.0,.221,,,,,
59,Nick Mantis,SG,24,MNL,10,71,1.7,.263,,.051,,,,,,,,,,-0.4,0.1,-0.3,-0.201,,,,,
60,Slater Martin*,PG,34,STL,64,1756,9.7,.440,,.405,,,,,,,,,,0.8,1.4,2.2,.060,,,,,
