Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jim Baechtold,SF,25,BLB,64,1893,12.9,.455,,.386,,,,,,,,,,2.3,0.4,2.6,.067,,,,,
2,Don Barksdale*,PF,29,BLB,65,2298,16.7,.447,,.484,,,,,,,,,,2.5,0.6,3.1,.065,,,,,
3,Leo Barnhorst,SF,28,INO,71,2871,16.0,.421,,.250,,,,,,,,,,1.1,3.5,4.6,.076,,,,,
4,Nelson Bobb,PG,28,PHW,55,1286,13.5,.441,,.509,,,,,,,,,,1.2,0.8,2.0,.075,,,,,
5,Vince Boryla,SF,25,NYK,66,2200,11.2,.435,,.293,,,,,,,,,,1.4,2.2,3.6,.078,,,,,
6,Don Boven,SF,27,TOT,67,1373,11.3,.435,,.489,,,,,,,,,,0.9,1.3,2.2,.075,,,,,
6,Don Boven,F-G,27,MLH,27,667,13.2,.453,,.489,,,,,,,,,,0.8,0.8,1.7,.119,,,,,
6,Don Boven,F-G,27,BLB,23,329,10.6,.431,,.608,,,,,,,,,,0.2,0.1,0.3,.039,,,,,
6,Don Boven,SF,27,FTW,17,377,8.7,.400,,.387,,,,,,,,,,-0.1,0.3,0.2,.029,,,,,
7,Bob Brannum,PF,27,BOS,71,1900,11.7,.390,,.342,,,,,,,,,,-0.8,1.7,0.8,.021,,,,,
8,Jim Brasco,G,21,TOT,20,248,7.6,.353,,.362,,,,,,,,,,-0.5,0.3,-0.2,-0.036,,,,,
8,Jim Brasco,G,21,SYR,10,111,5.1,.305,,.292,,,,,,,,,,-0.4,0.1,-0.3,-0.119,,,,,
8,Jim Brasco,G,21,MLH,10,137,9.7,.401,,.435,,,,,,,,,,0.0,0.1,0.1,.031,,,,,
9,Carl Braun,SG,25,NYK,70,2316,17.5,.497,,.497,,,,,,,,,,6.5,2.5,9.0,.186,,,,,
10,Frankie Brian,SG,29,FTW,68,1910,12.2,.438,,.425,,,,,,,,,,1.6,1.4,3.0,.076,,,,,
11,Dick Bunt,PG,22,TOT,26,271,6.6,.365,,.457,,,,,,,,,,-0.4,0.2,-0.3,-0.050,,,,,
11,Dick Bunt,PG,22,NYK,14,146,3.9,.320,,.472,,,,,,,,,,-0.4,0.1,-0.3,-0.096,,,,,
11,Dick Bunt,PG,22,BLB,12,125,9.8,.410,,.442,,,,,,,,,,0.0,0.0,0.0,.003,,,,,
12,Bill Calhoun,SF,25,TOT,62,2148,12.4,.431,,.547,,,,,,,,,,1.2,2.7,3.9,.087,,,,,
12,Bill Calhoun,F-G,25,SYR,13,239,10.1,.428,,.818,,,,,,,,,,0.1,0.2,0.3,.070,,,,,
12,Bill Calhoun,SF,25,MLH,49,1909,12.7,.431,,.516,,,,,,,,,,1.1,2.4,3.5,.089,,,,,
13,Al Cervi*,PG,35,SYR,38,301,18.3,.622,,1.408,,,,,,,,,,1.8,0.3,2.1,.339,,,,,
14,Cal Christensen,SF,25,ROC,59,777,9.8,.378,,.496,,,,,,,,,,-0.6,1.0,0.4,.024,,,,,
15,Nathaniel Clifton*,PF,30,NYK,70,2496,15.4,.394,,.432,,,,,,,,,,-1.1,4.4,3.3,.064,,,,,
16,Jack Coleman,PF,28,ROC,70,2625,17.2,.454,,.278,,,,,,,,,,2.8,3.9,6.7,.122,,,,,
17,Gene Conley,PF,22,BOS,39,461,10.4,.362,,.287,,,,,,,,,,-0.4,0.4,0.0,.001,,,,,
18,Chuck Cooper*,SF,26,BOS,70,1994,10.1,.417,,.408,,,,,,,,,,0.3,1.4,1.7,.040,,,,,
19,Ray Corley,G,25,FTW,8,65,-6.9,.206,,.250,,,,,,,,,,-0.4,0.0,-0.4,-0.265,,,,,
20,Bob Cousy*,PG,24,BOS,71,2945,21.7,.446,,.445,,,,,,,,,,4.7,2.5,7.2,.117,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Dillard Crocker,PF,28,MLH,61,776,13.2,.449,,.665,,,,,,,,,,1.1,1.0,2.2,.134,,,,,
22,Pete Darcey,C,22,MLH,12,90,-5.7,.250,,.500,,,,,,,,,,-0.3,0.1,-0.2,-0.107,,,,,
23,Bob Davies*,PG,33,ROC,66,2216,18.1,.474,,.530,,,,,,,,,,5.2,2.2,7.4,.161,,,,,
24,Blaine Denning,G,22,BLB,1,9,18.9,.460,,.200,,,,,,,,,,0.0,0.0,0.0,.095,,,,,
25,Bob Donham,SG,26,BOS,71,1435,14.4,.492,,.680,,,,,,,,,,2.8,1.0,3.8,.127,,,,,
26,Dike Eddleman,SF,30,FTW,69,1571,10.8,.389,,.345,,,,,,,,,,-1.6,1.5,-0.1,-0.002,,,,,
27,George Feigenbaum,PG,23,MLH,5,79,2.2,.280,,.682,,,,,,,,,,-0.3,0.1,-0.2,-0.109,,,,,
