Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Paul Arizin*,SF,29,PHW,68,2377,18.2,.479,,.443,,,,,,,,,,5.5,2.3,7.7,.156,,,,,
2,Dick Atha,SG,26,DET,18,160,8.9,.421,,.255,,,,,,,,,,0.1,0.1,0.2,.054,,,,,
3,Ernie Beck,SG,26,PHW,71,1974,12.7,.462,,.297,,,,,,,,,,2.4,1.9,4.3,.104,,,,,
4,Al Bianchi,SG,25,SYR,69,1421,9.6,.398,,.328,,,,,,,,,,-0.6,1.3,0.8,.026,,,,,
5,Doug Bolstorff,G,26,DET,3,21,2.2,.400,,.000,,,,,,,,,,0.0,0.0,0.0,-0.004,,,,,
6,Carl Braun,PG,30,NYK,71,2475,17.5,.495,,.371,,,,,,,,,,5.9,1.7,7.6,.147,,,,,
7,George Brown,F,22,MNL,1,6,-7.2,.174,,1.000,,,,,,,,,,0.0,0.0,0.0,-0.308,,,,,
8,Bob Burrow,C,23,MNL,14,171,8.6,.325,,.471,,,,,,,,,,-0.4,0.1,-0.4,-0.103,,,,,
9,Nathaniel Clifton*,PF,35,DET,68,1435,10.4,.397,,.245,,,,,,,,,,-0.7,1.2,0.5,.017,,,,,
10,Jack Coleman,PF,33,STL,72,1506,13.8,.442,,.234,,,,,,,,,,1.0,1.6,2.6,.084,,,,,
11,Ed Conlin,SF,24,SYR,60,1871,15.8,.452,,.308,,,,,,,,,,2.2,2.0,4.3,.110,,,,,
12,Larry Costello,PG,26,SYR,72,2746,15.1,.510,,.426,,,,,,,,,,6.4,2.9,9.2,.162,,,,,
13,Bob Cousy*,PG,29,BOS,65,2222,17.9,.415,,.258,,,,,,,,,,0.8,4.6,5.4,.116,,,,,
14,Walt Davis,PF,27,TOT,61,663,8.0,.412,,.336,,,,,,,,,,-0.1,0.6,0.6,.041,,,,,
14,Walt Davis,PF,27,PHW,35,376,5.2,.373,,.186,,,,,,,,,,-0.4,0.4,0.0,.002,,,,,
14,Walt Davis,PF,27,STL,26,287,11.7,.452,,.504,,,,,,,,,,0.3,0.3,0.6,.092,,,,,
15,George Dempsey,PG,28,PHW,67,1048,10.9,.412,,.338,,,,,,,,,,0.1,1.2,1.4,.063,,,,,
16,Corky Devlin,SG,26,MNL,70,1248,11.5,.419,,.352,,,,,,,,,,0.4,0.4,0.8,.032,,,,,
17,Dick Duckett,PG,24,CIN,34,424,8.0,.389,,.171,,,,,,,,,,-0.2,0.4,0.2,.025,,,,,
18,Walter Dukes,C,27,DET,72,2184,13.6,.420,,.460,,,,,,,,,,0.2,2.2,2.4,.052,,,,,
19,Pat Dunn,SG,26,PHW,28,206,9.4,.359,,.189,,,,,,,,,,-0.3,0.2,-0.1,-0.013,,,,,
20,Bill Ebben,G,22,DET,8,50,1.1,.252,,.143,,,,,,,,,,-0.3,0.0,-0.2,-0.233,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Bo Erias,SF,25,MNL,18,401,8.9,.388,,.276,,,,,,,,,,-0.3,0.1,-0.1,-0.018,,,,,
22,Ray Felix,C,27,NYK,72,1709,18.9,.512,,.565,,,,,,,,,,4.5,1.3,5.8,.164,,,,,
23,Ed Fleming,SF,24,MNL,72,1686,12.3,.413,,.389,,,,,,,,,,0.0,0.7,0.8,.021,,,,,
24,Larry Foust,C,29,MNL,72,2200,20.0,.491,,.576,,,,,,,,,,5.3,1.0,6.4,.139,,,,,
25,Larry Friend,SG,22,NYK,44,569,7.7,.359,,.181,,,,,,,,,,-0.7,0.3,-0.4,-0.033,,,,,
26,Harry Gallatin*,PF,30,DET,72,1990,19.8,.480,,.555,,,,,,,,,,4.2,1.9,6.1,.147,,,,,
27,Dick Garmaker,SG,25,MNL,68,2216,15.2,.468,,.416,,,,,,,,,,3.7,0.7,4.4,.095,,,,,
28,Jack George,PG,29,PHW,72,1910,12.5,.438,,.386,,,,,,,,,,1.4,2.0,3.4,.084,,,,,
29,Tom Gola*,SG,25,PHW,59,2126,18.3,.482,,.421,,,,,,,,,,3.9,3.2,7.1,.161,,,,,
30,Joe Graboski,PF,28,PHW,72,2077,12.1,.395,,.298,,,,,,,,,,-1.4,2.3,0.9,.022,,,,,
31,Richie Guerin*,SG,25,NYK,63,2368,14.9,.435,,.525,,,,,,,,,,1.8,1.7,3.5,.070,,,,,
32,Cliff Hagan*,SF,26,STL,70,2190,22.6,.513,,.441,,,,,,,,,,7.7,2.4,10.0,.220,,,,,
33,Bob Harrison,SG,30,SYR,72,1799,7.2,.393,,.202,,,,,,,,,,-0.6,1.5,0.9,.025,,,,,
34,Tom Heinsohn*,PF,23,BOS,69,2206,16.9,.439,,.321,,,,,,,,,,1.9,4.1,6.0,.130,,,,,
35,Joe Holup,SF,23,TOT,53,740,10.4,.396,,.338,,,,,,,,,,-0.3,0.7,0.3,.021,,,,,
35,Joe Holup,SF,23,SYR,16,133,5.3,.328,,.404,,,,,,,,,,-0.3,0.1,-0.2,-0.065,,,,,
35,Joe Holup,SF,23,DET,37,607,11.5,.414,,.321,,,,,,,,,,0.0,0.5,0.5,.040,,,,,
36,Bob Hopkins,PF,23,SYR,69,1224,15.1,.452,,.291,,,,,,,,,,1.3,1.4,2.7,.106,,,,,
37,Bob Houbregs*,PF,25,DET,17,302,11.5,.410,,.314,,,,,,,,,,0.0,0.2,0.2,.031,,,,,
38,Hot Rod Hundley,SG,23,MNL,65,1154,9.5,.365,,.296,,,,,,,,,,-1.6,0.4,-1.2,-0.051,,,,,
39,Mel Hutchins,PF,29,NYK,18,384,11.3,.420,,.328,,,,,,,,,,0.1,0.2,0.3,.041,,,,,
40,McCoy Ingram,PF,26,MNL,24,267,7.6,.290,,.272,,,,,,,,,,-0.8,0.1,-0.7,-0.119,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
41,Neil Johnston*,C,28,PHW,71,2408,22.5,.518,,.490,,,,,,,,,,8.2,3.1,11.3,.224,,,,,
42,Sam Jones*,SG,24,BOS,56,594,16.3,.482,,.361,,,,,,,,,,1.0,1.0,2.1,.167,,,,,
43,Phil Jordon,C,24,TOT,58,898,16.1,.443,,.199,,,,,,,,,,0.7,0.8,1.5,.082,,,,,
43,Phil Jordon,C-F,24,NYK,12,75,17.5,.505,,.176,,,,,,,,,,0.2,0.1,0.2,.150,,,,,
43,Phil Jordon,C,24,DET,46,823,16.0,.438,,.201,,,,,,,,,,0.6,0.7,1.3,.075,,,,,
44,Billy Kenville,SG,27,DET,35,649,11.4,.412,,.268,,,,,,,,,,0.0,0.5,0.5,.039,,,,,
45,Red Kerr,C,25,SYR,72,2384,17.9,.454,,.414,,,,,,,,,,2.6,3.2,5.8,.118,,,,,
46,George King,PG,29,CIN,63,2272,11.3,.409,,.352,,,,,,,,,,0.4,2.6,3.0,.064,,,,,
47,Jim Krebs,C,22,MNL,68,1259,14.2,.441,,.334,,,,,,,,,,0.8,0.5,1.3,.050,,,,,
48,Slick Leonard*,PG,25,MNL,66,2074,10.1,.404,,.338,,,,,,,,,,-0.3,0.7,0.4,.009,,,,,
49,Earl Lloyd*,SF,29,SYR,61,1045,8.6,.391,,.295,,,,,,,,,,-0.5,1.2,0.7,.030,,,,,
50,Jim Loscutoff,SF,27,BOS,5,56,9.2,.356,,.097,,,,,,,,,,-0.1,0.1,0.0,-0.017,,,,,
51,Clyde Lovellette*,C,28,CIN,71,2589,22.2,.483,,.263,,,,,,,,,,6.6,3.4,10.1,.187,,,,,
52,Ed Macauley*,C,29,STL,72,1908,18.4,.489,,.420,,,,,,,,,,4.5,1.8,6.3,.157,,,,,
53,Tom Marshall,SF,27,TOT,38,518,8.1,.392,,.380,,,,,,,,,,-0.3,0.5,0.2,.018,,,,,
53,Tom Marshall,SF,27,DET,9,66,8.3,.411,,.364,,,,,,,,,,0.0,0.0,0.0,.028,,,,,
53,Tom Marshall,SF,27,CIN,29,452,8.0,.389,,.382,,,,,,,,,,-0.3,0.4,0.2,.016,,,,,
54,Slater Martin*,PG,32,STL,60,2098,9.3,.406,,.359,,,,,,,,,,-0.2,1.6,1.4,.032,,,,,
55,Brendan McCann,PG,22,NYK,36,295,6.6,.297,,.370,,,,,,,,,,-0.7,0.2,-0.4,-0.071,,,,,
56,Dick McGuire*,PG,32,DET,69,2311,12.2,.432,,.414,,,,,,,,,,1.6,2.3,4.0,.082,,,,,
57,Jack McMahon,SG,29,STL,72,2239,7.1,.347,,.307,,,,,,,,,,-2.6,1.9,-0.7,-0.016,,,,,
58,Monk Meineke,PF,27,CIN,67,792,10.1,.405,,.339,,,,,,,,,,-0.3,0.9,0.7,.040,,,,,
59,Vern Mikkelsen*,PF,29,MNL,72,2390,18.9,.489,,.440,,,,,,,,,,5.4,1.1,6.5,.130,,,,,
60,Red Morrison,C,25,STL,13,79,6.9,.378,,.154,,,,,,,,,,-0.1,0.1,0.0,-0.001,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Willie Naulls,SF,23,NYK,68,2369,17.1,.458,,.289,,,,,,,,,,3.1,1.6,4.6,.094,,,,,
62,Jack Nichols,PF,31,BOS,69,1224,9.3,.384,,.165,,,,,,,,,,-0.9,1.9,1.0,.040,,,,,
63,Chuck Noble,SG,26,DET,61,1363,7.0,.358,,.128,,,,,,,,,,-1.9,1.0,-0.9,-0.033,,,,,
64,Togo Palazzi,SF,25,SYR,67,1001,15.8,.442,,.295,,,,,,,,,,1.0,1.0,2.0,.094,,,,,
65,Med Park,SG,24,STL,71,1103,10.4,.442,,.446,,,,,,,,,,0.7,0.8,1.6,.069,,,,,
66,Worthy Patterson,G,26,STL,4,13,11.0,.394,,.250,,,,,,,,,,0.0,0.0,0.0,.014,,,,,
67,Jerry Paulson,G,22,CIN,6,68,7.9,.390,,.261,,,,,,,,,,0.0,0.1,0.0,.016,,,,,
68,Jim Paxson,SG,25,CIN,67,1795,11.6,.431,,.446,,,,,,,,,,0.9,1.9,2.8,.074,,,,,
69,Bob Pettit*,PF,25,STL,70,2528,26.3,.492,,.525,,,,,,,,,,7.7,3.4,11.0,.209,,,,,
70,Andy Phillip*,PG,35,BOS,70,1164,6.9,.388,,.260,,,,,,,,,,-0.3,1.7,1.5,.060,,,,,
71,Dave Piontek,SF,23,CIN,71,1032,11.2,.426,,.380,,,,,,,,,,0.3,1.1,1.4,.066,,,,,
72,Ray Radziszewski,F,22,PHW,1,6,-8.9,.000,,.000,,,,,,,,,,-0.1,0.0,-0.1,-0.496,,,,,
73,Frank Ramsey*,SG,26,BOS,69,2047,19.5,.513,,.524,,,,,,,,,,6.4,3.6,10.0,.234,,,,,
74,Richie Regan,SG,27,CIN,72,1648,9.0,.406,,.302,,,,,,,,,,-0.1,1.6,1.5,.044,,,,,
75,Dick Ricketts,PF,24,CIN,72,1620,8.4,.375,,.295,,,,,,,,,,-1.8,1.9,0.1,.004,,,,,
76,Arnie Risen*,C,33,BOS,63,1119,9.9,.406,,.421,,,,,,,,,,-0.2,2.0,1.8,.076,,,,,
77,Lennie Rosenbluth,SF,25,PHW,53,373,14.3,.389,,.317,,,,,,,,,,-0.5,0.4,-0.1,-0.014,,,,,
78,Bill Russell*,C,23,BOS,69,2640,22.8,.465,,.429,,,,,,,,,,3.7,7.7,11.3,.206,,,,,
79,Woody Sauldsberry,PF,23,PHW,71,2377,10.7,.387,,.201,,,,,,,,,,-2.2,2.5,0.3,.007,,,,,
80,Dolph Schayes*,PF,29,SYR,72,2918,24.2,.508,,.477,,,,,,,,,,9.7,4.0,13.7,.226,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
81,Dick Schnittker,SF,29,MNL,50,979,15.4,.495,,.664,,,,,,,,,,2.2,0.3,2.6,.125,,,,,
82,Kenny Sears,PF,24,NYK,72,2685,18.5,.534,,.542,,,,,,,,,,8.3,1.7,10.0,.179,,,,,
83,Frank Selvy,SG,25,TOT,38,426,7.0,.336,,.461,,,,,,,,,,-0.9,0.3,-0.6,-0.068,,,,,
